frame,axis_1_3,axis_0_2,correct_force_1_3,correct_force_0_2,cycle,strain_x,strain_y,stress_x_mpa,stress_y_mpa,lambda_clamps_X,lambda_clamps_Y,mean_stress_x_mpa,mean_stress_y_mpa,file,lambda_DIC_F_xx,labmda_DIC_F_yy,mean_lambda_DIC_F_xx,mean_labmda_DIC_F_yy
1,0.0,0.0,0.0217331691297208,0.0084442858756944,1,0.0,0.0,0.0013403628374118,0.0034497093856699,1.0,1.0,0.0013403628374118,0.0034497093856699,data0.csv,1.0,1.0,1.0,1.0
2,0.04,0.03,0.1594846560846561,0.026122535600327,1,0.4285714285714285,0.5714285714285714,0.0041464342222741,0.0253150247753422,1.0042857142857142,1.0057142857142858,0.0041464342222741,0.0253150247753422,data1.csv,1.0159749779707334,1.0100351969779997,1.0159749779707334,1.0100351969779997
3,0.08,0.06,0.240881746031746,0.0422790451708705,1,0.8571428571428571,1.1428571428571428,0.0067109595509318,0.0382351977828168,1.008571428571429,1.0114285714285711,-0.0037908830570716,-0.0205832283530696,data2.csv,1.0151161156018276,1.00957642267638,1.020895590410005,1.0165777055675826
4,0.12,0.09,0.2864843915343916,0.0420671872922235,1,1.2857142857142858,1.7142857142857142,0.0066773313162259,0.0454737129419669,1.012857142857143,1.0171428571428571,-0.000761726890064,0.0005314029353286,data3.csv,1.0196200327093696,1.0133795239069596,1.0250740716395266,1.016988182393503
5,0.16,0.12,0.309035567675346,0.0494345151765677,1,1.7142857142857142,2.2857142857142856,0.007846748440725,0.0490532647103723,1.0171428571428571,1.022857142857143,0.0004989485466151,0.0050262572188152,data4.csv,1.0258670179651024,1.016868967758228,1.0319518216540247,1.0195681143188993
6,0.2,0.15,0.3367416529830323,0.0517366765747426,1,2.142857142857143,2.857142857142857,0.0082121708848797,0.0534510560290527,1.0214285714285714,1.0285714285714285,0.0011294262003917,0.0098527858141979,data5.csv,1.0299772295864158,1.021318481775527,1.0371840455636363,1.0252060627209223
7,0.24,0.18,0.3687126984126984,0.0553404277618221,1,2.571428571428572,3.4285714285714284,0.0087841948828289,0.0585258251448727,1.0257142857142858,1.0342857142857145,0.0017304816997072,0.0146535343875245,data6.csv,1.0358114954066662,1.02485646043927,1.043727214358957,1.0272246766508402
8,0.28,0.21,0.4027351851851852,0.0552481818844485,1,3.0,4.000000000000001,0.0087695526800711,0.0639262198706643,1.03,1.04,0.0019677065204637,0.0192316284538507,data7.csv,1.0393710083106338,1.0285386382073949,1.0496943005347021,1.0310872888085039
9,0.32,0.24,0.4384233716475095,0.056177335912898,1,3.4285714285714284,4.571428571428571,0.0089170374464917,0.0695910113726205,1.0342857142857145,1.0457142857142858,0.0022714896431672,0.0238220753835149,data8.csv,1.046364904065668,1.0318110308892752,1.0538023232149483,1.033854597983408
10,0.36,0.27,0.4766362068965517,0.056040725035765,1,3.857142857142857,5.142857142857143,0.0088953531802801,0.0756565407772304,1.0385714285714285,1.0514285714285714,0.0028874504009558,0.0288278084754549,data9.csv,1.0521057113563923,1.035893509145421,1.0610020692258972,1.0378786839843348
11,0.4,0.3,0.5164458128078817,0.059271085767447,1,4.285714285714286,5.714285714285714,0.0094081088519757,0.0819755258425209,1.042857142857143,1.0571428571428572,0.0033029224385643,0.0338285708493699,data10.csv,1.058605582808435,1.0400323088909402,1.066553745669011,1.0416396406943758
12,0.44,0.33,0.5649920634920635,0.0619093627562848,1,4.714285714285714,6.285714285714286,0.009826882977188,0.0896812799193751,1.0471428571428572,1.062857142857143,0.0037183345501176,0.0392845663406084,data11.csv,1.061053714716743,1.0436074231041192,1.071022217674766,1.0447550829596013
13,0.48,0.36,0.6241369782480894,0.068371018871755,1,5.142857142857143,6.857142857142857,0.0108525426780563,0.0990693616266808,1.0514285714285714,1.0685714285714285,0.0042827881866907,0.0455931892938522,data12.csv,1.0679302993995146,1.0473893753212624,1.0767596255121887,1.0486169887323968
14,0.52,0.39,0.6916679894179893,0.0728849875429202,1,5.571428571428571,7.428571428571429,0.0115690456417333,0.1097885697488871,1.0557142857142856,1.0742857142857145,0.0043339411483906,0.0528146708418817,data13.csv,1.0714985050055588,1.0514298852083654,1.081915864838784,1.0523423937031549
15,0.56,0.42,0.7658724685276409,0.0780995198026567,1,6.0,8.000000000000002,0.0123967491750248,0.1215670584964509,1.06,1.08,0.005393554871154,0.0601208728276325,data14.csv,1.0767731874451625,1.055217441329937,1.0874713468383765,1.0571402816295676
16,0.6,0.45,0.8550330687830687,0.0849193231772181,1,6.428571428571429,8.571428571428571,0.0134792576471774,0.1357195347274712,1.0642857142857145,1.0857142857142856,0.0057843624781784,0.0687464726631393,data15.csv,1.0804881324472912,1.0586462301002892,1.0899763199813226,1.059856525652445
17,0.64,0.48,0.9594432437932436,0.0949867140645875,1,6.857142857142857,9.142857142857142,0.0150772562007281,0.1522925783798799,1.0685714285714285,1.0914285714285714,0.0067715523239864,0.0788303457676746,data16.csv,1.0848716111520218,1.063315014457816,1.0950232114280083,1.0642882191196552
18,0.68,0.51,1.070588122605364,0.1033905017502155,1,7.285714285714286,9.714285714285714,0.0164111907540024,0.169934622635772,1.072857142857143,1.0971428571428572,0.0074631905097002,0.0899529579818304,data17.csv,1.0897796165016214,1.0676851691469211,1.0988653975107043,1.068700583345177
19,0.72,0.54,1.191598941798942,0.1108001821878157,1,7.714285714285714,10.285714285714286,0.0175873305060024,0.1891426891744352,1.0771428571428572,1.1028571428571428,0.0082140293503432,0.1020328421704995,data18.csv,1.091928960737005,1.070660789873206,1.102231861036492,1.0727038034307705
20,0.76,0.57,1.328903439153439,0.1282078569057838,1,8.142857142857142,10.857142857142858,0.0203504534771085,0.2109370538338791,1.0814285714285714,1.1085714285714283,0.0097551223358976,0.1161012342783004,data19.csv,1.0969535853016723,1.0762859622262608,1.1060664126932518,1.077077692821195
21,0.8,0.6,1.4812191276156792,0.1419086884696851,1,8.571428571428571,11.428571428571429,0.0225251886459817,0.235114147240584,1.0857142857142856,1.1142857142857143,0.0109431518626457,0.1323067670779219,data20.csv,1.100512573894313,1.0813715265949997,1.109332407838269,1.0820465425864014
22,0.84,0.63,1.6386626984126984,0.1551127514187009,1,9.0,12.0,0.024621071653762,0.2601051902242378,1.09,1.12,0.012248236133027,0.1498939315408702,data21.csv,1.1053533627942584,1.0861976435058085,1.1133696682913339,1.0871672026137322
23,0.88,0.66,1.8035068418171865,0.1720895021738253,1,9.428571428571429,12.571428571428571,0.0273157939958452,0.2862709272725692,1.0942857142857143,1.1257142857142857,0.0139389704420993,0.165462115880835,data22.csv,1.1075591008559134,1.089467346446268,1.1159338453185947,1.090688656676658
24,0.92,0.69,1.980532293377121,0.1914088456105602,1,9.857142857142858,13.142857142857142,0.0303823564461206,0.3143702052979557,1.0985714285714283,1.1314285714285717,0.0151776088586529,0.1809619790444913,data23.csv,1.1118827487848923,1.0950681609336224,1.1178288666870446,1.0952256202292032
25,0.96,0.72,2.1629759277504106,0.2158060979668988,1,10.285714285714286,13.714285714285714,0.034254936185222,0.343329512341335,1.1028571428571428,1.137142857142857,0.0174571698299783,0.1987070957970246,data24.csv,1.1162057737176387,1.0998019062162234,1.1220609591896342,1.1000158571983942
26,1.0,0.75,2.3471031746031747,0.2354277242497802,1,10.714285714285714,14.285714285714286,0.0373694800396476,0.3725560594608214,1.1071428571428572,1.1428571428571428,0.0192026112422015,0.2187830687830688,data25.csv,1.1209254803538822,1.1039682024204698,1.126480129602144,1.1040125975331483
27,1.04,0.78,2.54333689107827,0.2621403763339328,1,11.142857142857142,14.857142857142858,0.0416095835450686,0.4037042684251222,1.1114285714285714,1.1485714285714286,0.021976009108124,0.240988990104343,data26.csv,1.1226146773723358,1.1068894086813623,1.1285832278965229,1.1076471045720249
28,1.08,0.81,2.7497969348659,0.2951257388962274,1,11.571428571428571,15.428571428571429,0.0468453553803535,0.4364757039469683,1.1157142857142857,1.1542857142857144,0.0248851254504128,0.2650082811328021,data27.csv,1.1268931764016656,1.1114484783713694,1.1323175397043177,1.1110954434133533
29,1.12,0.84,2.976966662612256,0.3247440764264387,1,12.0,16.000000000000004,0.0515466787978474,0.4725343908908343,1.12,1.16,0.0280414945909466,0.2907718145770203,data28.csv,1.1319496764956536,1.1160041764597752,1.1368775479799287,1.115938579764009
30,1.16,0.87,3.1945281882868093,0.3576904835868599,1,12.428571428571429,16.57142857142857,0.0567762672360095,0.5070679663947316,1.1242857142857143,1.1657142857142857,0.0313374681753672,0.3177161145428797,data29.csv,1.1362090568250836,1.1194764012026734,1.1411800436055348,1.119137515045097
31,1.2,0.9,3.420478306878307,0.3949967918141956,1,12.857142857142858,17.142857142857142,0.0626979034625707,0.5429330645838583,1.1285714285714286,1.1714285714285717,0.0355957808836475,0.3459305595375656,data30.csv,1.139571288444782,1.1222886829025889,1.1432121983877903,1.1226058333317952
32,1.24,0.93,3.655506020799125,0.4382411081311581,1,13.285714285714286,17.714285714285715,0.0695620806557393,0.580239050920496,1.1328571428571428,1.177142857142857,0.0403115074475275,0.3761688241920864,data31.csv,1.1435934963233283,1.1262867743762026,1.1473110397084292,1.126214316253199
33,1.28,0.96,3.9029726327312537,0.4892561547118843,1,13.714285714285714,18.285714285714285,0.0776597070971244,0.6195194655128975,1.137142857142857,1.1828571428571428,0.045362678203505,0.4084769159260129,data32.csv,1.148182793331025,1.1302388681807314,1.151600458464975,1.1302023719551682
34,1.32,0.99,4.165574867724868,0.5324803872325485,1,14.142857142857142,18.857142857142858,0.0845206963861188,0.6612023599563283,1.1414285714285717,1.1885714285714286,0.0507125360479622,0.4437963303243817,data33.csv,1.1522388415360942,1.132504702054121,1.1555969124327587,1.133401815619758
35,1.36,1.02,4.432907224958949,0.587307231824834,1,14.571428571428571,19.428571428571427,0.093223370130926,0.7036360674538015,1.1457142857142857,1.1942857142857144,0.0571507366519328,0.4807906758701777,data34.csv,1.1558070614456506,1.136387662398201,1.1589175066324222,1.1372027760238455
36,1.4,1.05,4.710623015873016,0.6517373176399698,1,15.0,20.0,0.1034503678793603,0.7477179390274629,1.15,1.2,0.0647385892287555,0.5201063809486575,data35.csv,1.1611323367911597,1.140187685207492,1.163382264327339,1.1401706263607618
37,1.44,1.08,4.997325428403014,0.7153247656038316,1,15.428571428571429,20.571428571428573,0.1135436135879097,0.7932262584766689,1.1542857142857144,1.2057142857142855,0.0723366498041757,0.5606897601650536,data36.csv,1.1647917350064316,1.143894089150292,1.1674660292589245,1.1441609100899335
38,1.48,1.11,5.275322660098523,0.7796653205077209,1,15.85714285714286,21.142857142857142,0.1237564000805906,0.8373528031902416,1.1585714285714286,1.2114285714285713,0.081068940825759,0.6033963944088856,data37.csv,1.1685013774354438,1.1460010976361157,1.1710484157103647,1.1465708410548845
39,1.52,1.14,5.578127777777778,0.8537911171011308,1,16.285714285714285,21.714285714285715,0.135522399539862,0.8854171075837742,1.1628571428571428,1.217142857142857,0.0909301621226963,0.6497050474510793,data38.csv,1.170771766117964,1.1492094172722696,1.1736195283681448,1.1506074089126586
40,1.56,1.17,5.898350848385331,0.9389723010243228,1,16.714285714285715,22.285714285714285,0.1490432223848131,0.93624616641037,1.1671428571428573,1.2228571428571429,0.1019463111915264,0.6996326921573227,data39.csv,1.1741885953032885,1.1530958433528051,1.1767467339715605,1.1533877232717327
41,1.6,1.2,6.233383762788935,1.0189530581798287,1,17.142857142857142,22.857142857142858,0.1617385806634649,0.9894259940934818,1.1714285714285717,1.2285714285714286,0.1133655085739672,0.7522130600348991,data40.csv,1.178157508817799,1.156139987077374,1.180748599101094,1.1572517373097262
42,1.64,1.23,6.590273280423281,1.112217772672917,1,17.571428571428573,23.428571428571427,0.1765425035988757,1.0460751238767112,1.1757142857142855,1.2342857142857142,0.127273029151311,0.8101941895958042,data41.csv,1.1801207490239254,1.1579494487529496,1.1827183120308327,1.1589656321673503
43,1.68,1.26,6.977033114395184,1.216061192956937,1,18.0,24.0,0.1930255861836408,1.1074655737135213,1.18,1.24,0.1428350100445469,0.873505315621353,data42.csv,1.1824882229784357,1.1617093206280331,1.1847790257328725,1.1622144743305225
44,1.72,1.29,7.410845238095238,1.3263680233596704,1,18.428571428571427,24.571428571428573,0.2105346068824873,1.176324640967498,1.1842857142857142,1.2457142857142858,0.1596500843517995,0.9454860405209335,data43.csv,1.1859173652775556,1.1653482089486304,1.187758616866836,1.1655503686005897
45,1.76,1.32,7.889752126226265,1.4365592364805588,1,18.857142857142858,25.142857142857142,0.2280252756318347,1.2523416073375022,1.1885714285714286,1.2514285714285711,0.1780173006614276,1.025724961820352,data44.csv,1.1876218176211428,1.1681345689355669,1.190241008277657,1.1682903323374796
46,1.8,1.35,8.394816912972086,1.547614640571108,1,19.285714285714285,25.714285714285715,0.2456531175509695,1.3325106211066802,1.1928571428571428,1.2571428571428571,0.197919693779948,1.118302577736075,data45.csv,1.189561481924357,1.1702810294658252,1.191311753836552,1.1704200192636913
47,1.84,1.38,8.973527777777777,1.6708625069024756,1,19.714285714285715,26.285714285714285,0.2652162709369009,1.424369488536155,1.197142857142857,1.262857142857143,0.2205074213843926,1.22422175958506,data46.csv,1.1916420536617038,1.1734944104528866,1.1932304122924209,1.1736804312212357
48,1.88,1.41,9.590096059113302,1.8001880771210417,1,20.142857142857142,26.857142857142858,0.2857441392255622,1.522237469700524,1.2014285714285715,1.268571428571429,0.2452491219197999,1.344341775918541,data47.csv,1.1939314676322614,1.1764827581647272,1.1951272044626942,1.176057457909856
49,1.92,1.44,10.24827748383304,1.927648930676992,1,20.571428571428573,27.428571428571427,0.3059760207423797,1.62671071171953,1.2057142857142855,1.2742857142857142,0.2716662963455951,1.4776869020670091,data48.csv,1.194760849441615,1.1778677315649728,1.1963531303302894,1.1787454005867049
50,1.96,1.47,10.857972359058566,2.0381854712217486,1,21.0,28.0,0.3235215033685315,1.7234876760410422,1.21,1.28,0.3013008878453486,1.62838770297391,data49.csv,1.1964968869046106,1.1804448371599043,1.1975058963634764,1.1804698173871901
51,2.0,1.5,11.056360153256705,2.0657589532012843,1,21.428571428571427,28.571428571428573,0.3278982465398864,1.7549778021042388,1.2142857142857142,1.2857142857142858,0.3278982465398864,1.7549778021042388,data50.csv,1.2003653434195771,1.1854117108128477,1.2003653434195771,1.1854117108128477
52,1.96,1.47,9.6597126984127,1.7582057156296445,1,21.0,28.0,0.2790802723221657,1.5332877299067778,1.21,1.28,0.3013008878453486,1.62838770297391,data51.csv,1.198514905822342,1.180494797614476,1.1975058963634764,1.1804698173871901
53,1.92,1.44,8.370577482211276,1.4953464032775066,1,20.571428571428573,27.428571428571427,0.2373565719488105,1.3286630924144882,1.2057142857142855,1.2742857142857142,0.2716662963455951,1.4776869020670091,data52.csv,1.1979454112189636,1.179623069608437,1.1963531303302894,1.1787454005867049
54,1.88,1.41,7.348610317460317,1.2899508590684372,1,20.142857142857142,26.857142857142858,0.2047541046140376,1.166446082136558,1.2014285714285715,1.268571428571429,0.2452491219197999,1.344341775918541,data53.csv,1.196322941293127,1.1756321576549849,1.1951272044626942,1.176057457909856
55,1.84,1.38,6.451666392993979,1.1075310025408718,1,19.714285714285715,26.285714285714285,0.1757985718318844,1.0240740306339648,1.197142857142857,1.262857142857143,0.2205074213843926,1.22422175958506,data54.csv,1.1948187709231382,1.1738664519895845,1.1932304122924209,1.1736804312212357
56,1.8,1.35,5.695795566502463,0.9461735010562378,1,19.285714285714285,25.714285714285715,0.1501862700089266,0.9040945343654704,1.1928571428571428,1.2571428571428571,0.197919693779948,1.118302577736075,data55.csv,1.1930620257487472,1.1705590090615574,1.191311753836552,1.1704200192636913
57,1.76,1.32,5.034382392710171,0.80645875185343,1,18.857142857142858,25.142857142857142,0.1280093256910206,0.7991083163032017,1.1885714285714286,1.2514285714285711,0.1780173006614276,1.025724961820352,data56.csv,1.1928601989341716,1.1684460957393925,1.190241008277657,1.1682903323374796
58,1.72,1.29,4.502278872468527,0.6852230394730039,1,18.428571428571427,24.571428571428573,0.1087655618211117,0.7146474400743694,1.1842857142857142,1.2457142857142858,0.1596500843517995,0.9454860405209335,data57.csv,1.1895998684561164,1.1657525282525492,1.187758616866836,1.1655503686005897
59,1.68,1.26,4.029133862433863,0.5836599336043543,1,18.0,24.0,0.092644433905453,0.6395450575291847,1.18,1.24,0.1428350100445469,0.873505315621353,data58.csv,1.1870698284873091,1.1627196280330117,1.1847790257328725,1.1622144743305225
60,1.64,1.23,3.618173508483853,0.4914223946336025,1,17.571428571428573,23.428571428571427,0.0780035547037464,0.5743132553148973,1.1757142857142855,1.2342857142857142,0.127273029151311,0.8101941895958042,data59.csv,1.18531587503774,1.1599818155817512,1.1827183120308327,1.1589656321673503
61,1.6,1.2,3.244500793650793,0.4094523498521586,1,17.142857142857142,22.857142857142858,0.0649924364844696,0.5150001259763164,1.1714285714285717,1.2285714285714286,0.1133655085739672,0.7522130600348991,data60.csv,1.1833396893843893,1.1583634875420783,1.180748599101094,1.1572517373097262
62,1.56,1.17,2.917021072796935,0.3455512199889113,1,16.714285714285715,22.285714285714285,0.0548493999982398,0.4630192179042754,1.1671428571428573,1.2228571428571429,0.1019463111915264,0.6996326921573227,data61.csv,1.1793048726398323,1.1536796031906604,1.1767467339715605,1.1533877232717327
63,1.52,1.14,2.60815582010582,0.2919289256448429,1,16.285714285714285,21.714285714285715,0.0463379247055306,0.4139929873183842,1.1628571428571428,1.217142857142857,0.0909301621226963,0.6497050474510793,data62.csv,1.1764672906183258,1.1520054005530476,1.1736195283681448,1.1506074089126586
64,1.48,1.11,2.327471909453436,0.2418033338968429,1,15.85714285714286,21.142857142857142,0.0383814815709274,0.3694399856275295,1.1585714285714286,1.2114285714285713,0.081068940825759,0.6033963944088856,data63.csv,1.1735954539852855,1.1471405844736535,1.1710484157103647,1.1465708410548845
65,1.44,1.08,2.0673655496766608,0.1961170219287832,1,15.428571428571429,20.571428571428573,0.0311296860204417,0.3281532618534382,1.1542857142857144,1.2057142857142855,0.0723366498041757,0.5606897601650536,data64.csv,1.1701403235114174,1.144427731029575,1.1674660292589245,1.1441609100899335
66,1.4,1.05,1.842717384080069,0.1639689066423501,1,15.0,20.0,0.0260268105781508,0.2924948228698522,1.15,1.2,0.0647385892287555,0.5201063809486575,data65.csv,1.1656321918635182,1.140153567514032,1.163382264327339,1.1401706263607618
67,1.36,1.02,1.6250552910052911,0.13279204998952,1,14.571428571428571,19.428571428571427,0.0210781031729396,0.2579452842865541,1.1457142857142857,1.1942857142857144,0.0571507366519328,0.4807906758701777,data66.csv,1.1620279518191938,1.13801788964949,1.1589175066324222,1.1372027760238455
68,1.32,0.99,1.4262588943623429,0.106497566971777,1,14.142857142857142,18.857142857142858,0.0169043757098058,0.2263903006924353,1.1414285714285717,1.1885714285714286,0.0507125360479622,0.4437963303243817,data67.csv,1.158954983329423,1.134298929185395,1.1555969124327587,1.133401815619758
69,1.28,0.96,1.243836507936508,0.0823135906522798,1,13.714285714285714,18.285714285714285,0.0130656493098856,0.1974343663391282,1.137142857142857,1.1828571428571428,0.045362678203505,0.4084769159260129,data68.csv,1.1550181235989252,1.1301658757296047,1.151600458464975,1.1302023719551682
70,1.24,0.93,1.084221164021164,0.0696838857076896,1,13.285714285714286,17.714285714285715,0.0110609342393158,0.1720985974636768,1.1328571428571428,1.177142857142857,0.0403115074475275,0.3761688241920864,data69.csv,1.15102858309353,1.1261418581301954,1.1473110397084292,1.126214316253199
71,1.2,0.9,0.9382467432950192,0.0535100473197639,1,12.857142857142858,17.142857142857142,0.0084936583047244,0.1489280544912729,1.1285714285714286,1.1714285714285717,0.0355957808836475,0.3459305595375656,data70.csv,1.146853108330799,1.1229229837610015,1.1432121983877903,1.1226058333317952
72,1.16,0.87,0.8086948549534757,0.0371616154227681,1,12.428571428571429,16.57142857142857,0.005898669114725,0.1283642626910278,1.1242857142857143,1.1657142857142857,0.0313374681753672,0.3177161145428797,data71.csv,1.146151030385986,1.1187986288875205,1.1411800436055348,1.119137515045097
73,1.12,0.84,0.686758201058201,0.0285787554194893,1,12.0,16.000000000000004,0.0045363103840459,0.1090092382632064,1.12,1.16,0.0280414945909466,0.2907718145770203,data72.csv,1.1418054194642036,1.1158729830682426,1.1368775479799287,1.115938579764009
74,1.08,0.81,0.5893074074074074,0.0184268417789744,1,11.571428571428571,15.428571428571429,0.0029248955204721,0.0935408583186361,1.1157142857142857,1.1542857142857144,0.0248851254504128,0.2650082811328021,data73.csv,1.13774190300697,1.1107424084553374,1.1323175397043177,1.1110954434133533
75,1.04,0.78,0.4931243842364531,0.014757338428431,1,11.142857142857142,14.857142857142858,0.0023424346711795,0.0782737117835639,1.1114285714285714,1.1485714285714286,0.021976009108124,0.240988990104343,data74.csv,1.13455177842071,1.1084048004626874,1.1285832278965229,1.1076471045720249
76,1.0,0.75,0.4095634920634921,0.0065251774019595,1,10.714285714285714,14.285714285714286,0.0010357424447554,0.0650100781053162,1.1071428571428572,1.1428571428571428,0.0192026112422015,0.2187830687830688,data75.csv,1.132034778850406,1.104056992645827,1.126480129602144,1.1040125975331483
77,0.96,0.72,0.3407334792920999,0.0041542418908287,1,10.285714285714286,13.714285714285714,0.0006594034747347,0.0540846792527142,1.1028571428571428,1.137142857142857,0.0174571698299783,0.1987070957970246,data76.csv,1.1279161446616297,1.100229808180565,1.1220609591896342,1.1000158571983942
78,0.92,0.69,0.2995886425834701,-0.0001709739915322,1,9.857142857142858,13.142857142857142,-2.7138728814634924e-05,0.047553752791027,1.0985714285714283,1.1314285714285717,0.0151776088586529,0.1809619790444913,data77.csv,1.123774984589197,1.095383079524784,1.1178288666870446,1.0952256202292032
79,0.88,0.66,0.2813158182813355,0.0035415253966282,1,9.428571428571429,12.571428571428571,0.0005621468883536,0.0446533044891008,1.0942857142857143,1.1257142857142857,0.0139389704420993,0.165462115880835,data78.csv,1.1243085897812763,1.0919099669070478,1.1159338453185947,1.090688656676658
80,0.84,0.63,0.2500008390022675,-0.0007849761425603,1,9.0,12.0,-0.0001245993877079,0.0396826728575027,1.09,1.12,0.012248236133027,0.1498939315408702,data79.csv,1.121385973788409,1.088136761721656,1.1133696682913339,1.0871672026137322
81,0.8,0.6,0.1858461375661375,-0.0040249750003492,1,8.571428571428571,11.428571428571429,-0.0006388849206903,0.0294993869152599,1.0857142857142856,1.1142857142857143,0.0109431518626457,0.1323067670779219,data80.csv,1.118152241782225,1.0827215585778032,1.109332407838269,1.0820465425864014
82,0.76,0.57,0.1339721127531472,-0.0052933154734735,1,8.142857142857142,10.857142857142858,-0.0008402088053132,0.0212654147227217,1.0814285714285714,1.1085714285714283,0.0097551223358976,0.1161012342783004,data81.csv,1.1151792400848315,1.077869423416129,1.1060664126932518,1.077077692821195
83,0.72,0.54,0.0940148695493523,-0.007303412373491,1,7.714285714285714,10.285714285714286,-0.001159271805316,0.0149229951665638,1.0771428571428572,1.1028571428571428,0.0082140293503432,0.1020328421704995,data82.csv,1.1125347613359793,1.074746816988335,1.102231861036492,1.0727038034307705
84,0.68,0.51,0.0628191479656996,-0.0093543013279928,1,7.285714285714286,9.714285714285714,-0.001484809734602,0.0099712933278888,1.072857142857143,1.0971428571428572,0.0074631905097002,0.0899529579818304,data83.csv,1.1079511785197873,1.069715997543433,1.0988653975107043,1.068700583345177
85,0.64,0.48,0.0338191128794577,-0.0096651547823578,1,6.857142857142857,9.142857142857142,-0.0015341515527552,0.0053681131554694,1.0685714285714285,1.0914285714285714,0.0067715523239864,0.0788303457676746,data84.csv,1.105174811703995,1.0652614237814946,1.0950232114280083,1.0642882191196552
86,0.6,0.45,0.0111724867724867,-0.0120363559521697,1,6.428571428571429,8.571428571428571,-0.0019105326908205,0.0017734105988074,1.0642857142857145,1.0857142857142856,0.0057843624781784,0.0687464726631393,data85.csv,1.099464507515354,1.061066821204601,1.0899763199813226,1.059856525652445
87,0.56,0.42,-0.0083494708994709,-0.0101407284261155,1,6.0,8.000000000000002,-0.0016096394327167,-0.0013253128411858,1.06,1.08,0.005393554871154,0.0601208728276325,data86.csv,1.0981695062315904,1.0590631219291982,1.0874713468383765,1.0571402816295676
88,0.52,0.39,-0.0262031368102796,-0.0182773290731984,1,5.571428571428571,7.428571428571429,-0.0029011633449521,-0.0041592280651237,1.0557142857142856,1.0742857142857145,0.0043339411483906,0.0528146708418817,data87.csv,1.0923332246720094,1.053254902197944,1.081915864838784,1.0523423937031549
89,0.48,0.36,-0.0496627931455517,-0.0144078877194516,1,5.142857142857143,6.857142857142857,-0.0022869663046748,-0.0078829830389764,1.0514285714285714,1.0685714285714285,0.0042827881866907,0.0455931892938522,data88.csv,1.085588951624863,1.0498446021435313,1.0767596255121887,1.0486169887323968
90,0.44,0.33,-0.0700065276003973,-0.0150583474248025,1,4.714285714285714,6.285714285714286,-0.0023902138769527,-0.0111121472381583,1.0471428571428572,1.062857142857143,0.0037183345501176,0.0392845663406084,data89.csv,1.0809907206327891,1.045902742815083,1.071022217674766,1.0447550829596013
91,0.4,0.3,-0.0902058201058201,-0.0176542630415365,1,4.285714285714286,5.714285714285714,-0.002802263974847,-0.0143183841437809,1.042857142857143,1.0571428571428572,0.0033029224385643,0.0338285708493699,data90.csv,1.074501908529587,1.0432469724978115,1.066553745669011,1.0416396406943758
92,0.36,0.27,-0.1134058201058201,-0.0196588499837219,1,3.857142857142857,5.142857142857143,-0.0031204523783685,-0.0180009238263206,1.0385714285714285,1.0514285714285714,0.0028874504009558,0.0288278084754549,data91.csv,1.0698984270954022,1.0398638588232485,1.0610020692258972,1.0378786839843348
93,0.32,0.24,-0.1382652218152218,-0.027556566408991,1,3.4285714285714284,4.571428571428571,-0.0043740581601573,-0.0219468606055907,1.0342857142857145,1.0457142857142858,0.0022714896431672,0.0238220753835149,data92.csv,1.0612397423642288,1.0358981650775407,1.0538023232149483,1.033854597983408
94,0.28,0.21,-0.1604166666666666,-0.0304550797266048,1,3.0,4.000000000000001,-0.0048341396391436,-0.0254629629629629,1.03,1.04,0.0019677065204637,0.0192316284538507,data93.csv,1.0600175927587707,1.0336359394096128,1.0496943005347021,1.0310872888085039
95,0.24,0.18,-0.1840781651298892,-0.0335363583455117,1,2.571428571428572,3.4285714285714284,-0.0053232314834145,-0.0292187563698236,1.0257142857142858,1.0342857142857145,0.0017304816997072,0.0146535343875245,data94.csv,1.051642933311248,1.0295928928624103,1.043727214358957,1.0272246766508402
96,0.2,0.15,-0.2125965517241379,-0.0375059064498061,1,2.142857142857143,2.857142857142857,-0.0059533184840962,-0.0337454844006568,1.0214285714285714,1.0285714285714285,0.0011294262003917,0.0098527858141979,data95.csv,1.044390861540857,1.0290936436663176,1.0371840455636363,1.0252060627209223
97,0.16,0.12,-0.2457047267182735,-0.0431477634892167,1,1.7142857142857142,2.2857142857142856,-0.0068488513474947,-0.0390007502727418,1.0171428571428571,1.022857142857143,0.0004989485466151,0.0050262572188152,data96.csv,1.0380366253429467,1.0222672608795702,1.0319518216540247,1.0195681143188993
