frame,axis_0_2,axis_1_3,correct_force_0_2,correct_force_1_3,cycle,strain_x,strain_y,stress_x_mpa,stress_y_mpa,lambda_clamps_X,lambda_clamps_Y,mean_stress_x_mpa,mean_stress_y_mpa,file,lambda_DIC_F_xx,labmda_DIC_F_yy,mean_lambda_DIC_F_xx,mean_labmda_DIC_F_yy
1,0.0,0.0,-0.0018473544973544,0.028066099759521,1,0.0,0.0,-0.0002932308725959,0.0044549364697652,1.0,1.0,-0.0002932308725959,0.0044549364697652,data0.csv,1.0,1.0,1.0,1.0
2,0.04,0.04,0.0139059901738473,0.0836901709672804,1,0.5714285714285714,0.5714285714285714,0.0022073000275948,0.0132841541217905,1.0057142857142858,1.0057142857142858,-0.005722000470808,-0.0253718055948866,data1.csv,1.0103285046306718,1.004425887511933,1.0141725152325525,1.0292730826428356
3,0.08,0.08,0.0242134829410691,0.1605139518665284,1,1.1428571428571428,1.1428571428571428,0.0038434099906458,0.0254784050581791,1.0114285714285711,1.0114285714285711,-0.0044813142370614,-0.0190176544415991,data2.csv,1.0164728912390133,1.0055821939636431,1.0181403336449737,1.0293287627020165
4,0.12,0.12,0.0318675789089582,0.2742217761913806,1,1.7142857142857142,1.7142857142857142,0.0050583458585647,0.0435272660621239,1.0171428571428571,1.0171428571428571,-0.0035453150669743,-0.0083637450145621,data3.csv,1.022773150842864,1.007254223189014,1.0227935976049056,1.0291787615850585
5,0.16,0.16,0.0395125510204081,0.3820238458831029,1,2.2857142857142856,2.2857142857142856,0.0062718334953028,0.0606387056957306,1.022857142857143,1.022857142857143,-0.0028112764532363,0.0016930330922168,data4.csv,1.0275920527119051,1.0092240578161125,1.0270947342801235,1.0293837947054152
6,0.2,0.2,0.0499348567779602,0.4855589454567081,1,2.857142857142857,2.857142857142857,0.0079261677425333,0.0770728484851917,1.0285714285714285,1.0285714285714285,-0.001653675178032,0.0111282038276747,data5.csv,1.033234930976472,1.011950388844489,1.0305084719357342,1.0305484488739414
7,0.24,0.24,0.0598544217687074,0.5996281587325094,1,3.4285714285714284,3.4285714285714284,0.0095007018680487,0.095179072814684,1.0342857142857145,1.0342857142857145,-0.0005625264519236,0.0216519346702835,data6.csv,1.039258544684129,1.0147355355565175,1.0350134274939662,1.0314345392860647
8,0.28,0.28,0.0683044022206583,0.7077496854153728,1,4.000000000000001,4.000000000000001,0.0108419686064536,0.112341219907202,1.04,1.04,0.0002466960694147,0.0316101871928344,data7.csv,1.043965756694288,1.0176212061020269,1.0391355318541047,1.0322668413721359
9,0.32,0.32,0.0779413756613756,0.8269950718051882,1,4.571428571428571,4.571428571428571,0.012371646930377,0.1312690590166965,1.0457142857142858,1.0457142857142858,0.0010665970176916,0.0424300497924775,data8.csv,1.0480914631718483,1.0198504330475815,1.0432648412802643,1.0329834430538223
10,0.36,0.36,0.0909447181171319,0.9558583932946872,1,5.142857142857143,5.142857142857143,0.0144356695424018,0.1517235544912202,1.0514285714285714,1.0514285714285714,0.0023349927455017,0.0540259096252598,data9.csv,1.053956067883548,1.0234454387833578,1.0473264470962125,1.0345638474814463
11,0.4,0.4,0.1057246031746031,1.07626052252121,1,5.714285714285714,5.714285714285714,0.0167816830435877,0.1708350035747952,1.0571428571428572,1.0571428571428572,0.0037908163265306,0.0656840739413529,data10.csv,1.0594435722526925,1.0264065355139973,1.052087885842047,1.036142984569457
12,0.44,0.44,0.120577969348659,1.2159393310562152,1,6.285714285714286,6.285714285714286,0.0191393602140728,0.193006243024796,1.062857142857143,1.062857142857143,0.0051008324572911,0.0784485421051263,data11.csv,1.0641633031641264,1.0288728847551956,1.0569139171108177,1.0378161582101209
13,0.48,0.48,0.1360771756978653,1.3537029943514407,1,6.857142857142857,6.857142857142857,0.0215995516980738,0.2148734911668953,1.0685714285714285,1.0685714285714285,0.0063282362318183,0.0913584876401722,data12.csv,1.069271040583459,1.032487643767519,1.0620800753754058,1.0400510489609627
14,0.52,0.52,0.1552669188365001,1.5050124140711705,1,7.428571428571429,7.428571428571429,0.0246455426724603,0.2388908593763762,1.0742857142857145,1.0742857142857145,0.0080994964153635,0.1057551034856879,data13.csv,1.075502996165603,1.0358282783097248,1.06662495878839,1.041506964343498
15,0.56,0.56,0.1761510582010582,1.6530833423001468,1,8.000000000000002,8.000000000000002,0.0279604854287394,0.2623941813174836,1.08,1.08,0.0100657618091937,0.1197735297686898,data14.csv,1.0812579512565117,1.03932188193338,1.0727633601545263,1.0439111546657087
16,0.6,0.6,0.1980790620846039,1.813576172661652,1,8.571428571428571,8.571428571428571,0.0314411209658101,0.2878692337558177,1.0857142857142856,1.0857142857142856,0.0118571057779068,0.1345243260696746,data15.csv,1.0859322845646648,1.0415046076136991,1.0787741651866471,1.0454799909951824
17,0.64,0.64,0.2188702233980011,1.969650476004908,1,9.142857142857142,9.142857142857142,0.03474130530127,0.3126429326991918,1.0914285714285714,1.0914285714285714,0.0134603653310702,0.1491952622371219,data16.csv,1.0917999510053782,1.045246046829144,1.0837733593147822,1.048050710949006
18,0.68,0.68,0.2478762999452654,2.142037156442517,1,9.714285714285714,9.714285714285714,0.0393454444357564,0.3400058978480185,1.0971428571428572,1.0971428571428572,0.0159588108642472,0.1656720127433623,data17.csv,1.097910397314221,1.04921078428193,1.0906024411314628,1.0503738616018605
19,0.72,0.72,0.2773084291187739,2.313115010679935,1,10.285714285714286,10.285714285714286,0.0440172109712339,0.3671611128063389,1.1028571428571428,1.1028571428571428,0.0186167336575206,0.1808325465633788,data18.csv,1.102221162145748,1.0512983544176266,1.0965242032386935,1.0521075668602706
20,0.76,0.76,0.3077148148148148,2.492381461199845,1,10.857142857142858,10.857142857142858,0.0488436213991769,0.3956161049523564,1.1085714285714283,1.1085714285714283,0.0212229252279881,0.1969969417560942,data19.csv,1.1096672172430166,1.0549330738187987,1.1039420806656441,1.0544363707457962
21,0.8,0.8,0.3405279146141215,2.6766383946631933,1,11.428571428571429,11.428571428571429,0.0540520499387494,0.4248632372481259,1.1142857142857143,1.1142857142857143,0.0238844665823515,0.2132755621183136,data20.csv,1.1157145096903438,1.058457241182586,1.1090382069036462,1.0567167059642546
22,0.84,0.84,0.3798327160493827,2.871067437074408,1,12.0,12.0,0.0602909073094258,0.4557249900118107,1.12,1.12,0.0272943779902712,0.2300750273193786,data21.csv,1.1214319276488038,1.0621025524620753,1.116093364848207,1.0591066045282491
23,0.88,0.88,0.4180008112440378,3.05619784185068,1,12.571428571428571,12.571428571428571,0.0663493351181012,0.4851107685477269,1.1257142857142857,1.1257142857142857,0.0307065815592186,0.2475145008348628,data22.csv,1.1255745224619955,1.0646814467805052,1.1225362542731645,1.061099389412167
24,0.92,0.92,0.4604003010399562,3.253138887156528,1,13.142857142857142,13.142857142857142,0.0730794128634851,0.5163712519296076,1.1314285714285717,1.1314285714285717,0.0343809596209706,0.266468349090169,data23.csv,1.131923112134004,1.0685841851454854,1.1300846490721135,1.0641251934134321
25,0.96,0.96,0.5044270557029178,3.461285533705662,1,13.714285714285714,13.714285714285714,0.0800677866195107,0.549410402175502,1.137142857142857,1.137142857142857,0.0381876404053014,0.2872484969203516,data24.csv,1.1377385445252872,1.0717101823711257,1.1352134074346845,1.0663985238761888
26,1.0,1.0,0.5565544973544974,3.6703631243635946,1,14.285714285714286,14.285714285714286,0.088341983707063,0.5825973213275547,1.1428571428571428,1.1428571428571428,0.0429785769470742,0.3095235218194663,data25.csv,1.144012038098892,1.0755480689886086,1.1422185923914845,1.069623602957862
27,1.04,1.04,0.5790424192665572,3.6882795420155214,1,14.857142857142858,14.857142857142858,0.0919114951216757,0.5854411971453208,1.1485714285714286,1.1485714285714286,0.0455009955542151,0.3169197430189327,data26.csv,1.149048272553185,1.076917508082446,1.1487936121107176,1.07182600504682
28,1.08,1.08,0.6149039408866995,3.773184410736696,1,15.428571428571429,15.428571428571429,0.0976038001407459,0.5989181604343962,1.1542857142857144,1.1542857142857144,0.0491107730022617,0.3302933566994737,data27.csv,1.159129830973662,1.0784461945459412,1.1561492788064307,1.0735307871905517
29,1.12,1.12,0.673422619047619,3.981044172148034,1,16.000000000000004,16.000000000000004,0.1068924792139077,0.6319117733568308,1.16,1.16,0.0545149806836314,0.3544542720129553,data28.csv,1.1674301273914085,1.081508570969756,1.1640737476116856,1.0768702672534038
30,1.16,1.16,0.7239318555008211,4.117925942422168,1,16.57142857142857,16.57142857142857,0.1149098183334636,0.6536390384797093,1.1657142857142857,1.1657142857142857,0.0595625053524419,0.3733383440239159,data29.csv,1.179620769961092,1.0833947939139734,1.1741553650905527,1.0793767831633332
31,1.2,1.2,0.7791800766283524,4.243501462889948,1,17.142857142857142,17.142857142857142,0.1236793772425956,0.6735716607761822,1.1714285714285717,1.1714285714285717,0.0653520343003101,0.3927264862809573,data30.csv,1.1857385230273907,1.085423454295695,1.1811905923237005,1.0823371458331033
32,1.24,1.24,0.8582061667578909,4.504960413555512,1,17.714285714285715,17.714285714285715,0.136223201072681,0.715073081516748,1.177142857142857,1.177142857142857,0.0732130643232174,0.4233420611671198,data31.csv,1.1934452473628168,1.0883883138000503,1.1873484861961507,1.0847440462039684
33,1.28,1.28,0.9421652983032294,4.774059366143641,1,18.285714285714285,18.285714285714285,0.1495500473497189,0.7577872009751812,1.1828571428571428,1.1828571428571428,0.0816730330559923,0.4556379942642312,data32.csv,1.1998607786339668,1.0919491874373608,1.1943662551891758,1.0881147275186973
34,1.32,1.32,1.0356182266009852,5.057706160692054,1,18.857142857142858,18.857142857142858,0.1643838454922198,0.8028105016971514,1.1885714285714286,1.1885714285714286,0.0914487410053912,0.4907567167620635,data33.csv,1.2042660770796196,1.0942722859118208,1.2003420788134531,1.0912434626429
35,1.36,1.36,1.132818253968254,5.337634112185378,1,19.428571428571427,19.428571428571427,0.1798124212648022,0.847243509870695,1.1942857142857144,1.1942857142857144,0.1019049537652438,0.5269675137872406,data34.csv,1.210411412751579,1.097863422929462,1.2071633964424686,1.0947896709528693
36,1.4,1.4,1.2395471487360377,5.649517570517743,1,20.0,20.0,0.1967535156723869,0.896748820717102,1.2,1.2,0.1136022344465906,0.5663808106484761,data35.csv,1.2163749265010648,1.1011719379249494,1.2123194582121388,1.0979956741391101
37,1.44,1.44,1.3492873015873017,5.967471160626738,1,20.571428571428573,20.571428571428573,0.2141725875535399,0.9472176445439268,1.2057142857142855,1.2057142857142855,0.1260178842929253,0.6082392849976258,data36.csv,1.2219754475760902,1.104414131855208,1.2184827961220364,1.1009770102067704
