frame,axis_0_2,axis_1_3,correct_force_0_2,correct_force_1_3,cycle,strain_x,strain_y,stress_x_mpa,stress_y_mpa,lambda_clamps_X,lambda_clamps_Y,mean_stress_x_mpa,mean_stress_y_mpa,file,lambda_DIC_F_xx,labmda_DIC_F_yy,mean_lambda_DIC_F_xx,mean_labmda_DIC_F_yy
1,0.0,0.0,-0.0037648148148148,-0.0011699582081888,1,0.0,0.0,-0.0005975896531452,-0.0001857076520934,1.0,1.0,-0.0005975896531452,-0.0001857076520934,data0.csv,1.0,1.0,1.0,1.0
2,0.04,0.04,0.0043412698412698,0.0035502403132661,1,0.5714285714285714,0.5714285714285714,0.0006890904509952,0.0005635302084549,1.0057142857142858,1.0057142857142858,-0.0032661025244494,-4.870357095900022e-06,data1.csv,1.0103285046306718,1.004425887511933,1.0200101671677966,1.0054901077217142
3,0.08,0.08,0.008765873015873,0.0013253285238983,1,1.1428571428571428,1.1428571428571428,0.0013914084152179,0.0002103696069679,1.0114285714285711,1.0114285714285711,-0.0027491391618375,0.0003843713057523,data2.csv,1.0164728912390133,1.0055821939636431,1.0249208123498188,1.0057618845842962
4,0.12,0.12,0.0157820392524826,0.0001037807621738,1,1.7142857142857142,1.7142857142857142,0.0025050855956321,1.6473136852984125e-05,1.0171428571428571,1.0171428571428571,-0.0020727603785201,-9.949185315725792e-05,data3.csv,1.037284111802789,1.0010066301617586,1.0366029578394271,1.0038274337255335
5,0.16,0.16,0.0182053731070972,0.0018482327054344,1,2.2857142857142856,2.2857142857142856,0.0028897417630313,0.0002933702707038,1.022857142857143,1.022857142857143,-0.0016851062689869,0.0002069805456029,data4.csv,1.0477151113443293,1.001396119692312,1.0425846802287375,1.0031400206438432
6,0.2,0.2,0.0234815668202765,0.0004592638723402,1,2.857142857142857,2.857142857142857,0.0037272328286153,7.28990273555873e-05,1.0285714285714285,1.0285714285714285,-0.0010933217396748,-0.0002170522764261,data5.csv,1.0631029569860035,1.001431341428153,1.0528543026014279,1.003367418103337
7,0.24,0.24,0.02758973727422,0.00218675533138,1,3.4285714285714284,3.4285714285714284,0.0043793233768603,0.0003471040208539,1.0342857142857145,1.0342857142857145,-0.0006420969409475,0.0001579076658677,data6.csv,1.074261387694657,1.00104822075467,1.0607615947465183,1.002798423769955
8,0.28,0.28,0.0321341269841269,0.0026066049349284,1,4.000000000000001,4.000000000000001,0.0051006550768455,0.000413746815068,1.04,1.04,-0.0001200033014482,1.7317478863550006e-05,data7.csv,1.087748302465339,1.0011646877685296,1.0724631683458532,1.0032958710296234
9,0.32,0.32,0.0363999543878854,0.0025145427228158,1,4.571428571428571,4.571428571428571,0.0057777705377595,0.0003991337655263,1.0457142857142858,1.0457142857142858,0.0003678682200849,0.0005476358750681,data8.csv,1.1005278838582413,1.0016743053431314,1.0815287800826643,1.0032720299156146
10,0.36,0.36,0.0418261357416529,-7.434769768210068e-05,1,5.142857142857143,5.142857142857143,0.0066390691653417,-1.1801221854301697e-05,1.0514285714285714,1.0514285714285714,0.0008508582967902,3.765396469222168e-06,data9.csv,1.1108260200806217,1.001306681510921,1.0939866185644322,1.0027254439987627
11,0.4,0.4,0.0468588435374149,-0.0006591582233047,1,5.714285714285714,5.714285714285714,0.0074379116726055,-0.0001046282894134,1.0571428571428572,1.0571428571428572,0.0014390270491216,3.863587221375e-05,data10.csv,1.1236625745265738,1.0010574127620893,1.1043075422911848,1.003246273421678
12,0.44,0.44,0.05125291005291,0.0044083427795223,1,6.285714285714286,6.285714285714286,0.0081353825480809,0.0006997369491305,1.062857142857143,1.062857142857143,0.0019467574233975,0.0004642875592308,data11.csv,1.132939016415342,1.00113609996271,1.1158425979277655,1.0038851463231109
13,0.48,0.48,0.0567795292829775,0.0024895458807839,1,6.857142857142857,6.857142857142857,0.0090126236957107,0.0003951660128228,1.0685714285714285,1.0685714285714285,0.0025918903108285,0.0003376940915455,data12.csv,1.1458460032080298,1.000913365346823,1.129106649038099,1.0035688781869454
14,0.52,0.52,0.0617662037037037,-4.337123950752121e-05,1,7.428571428571429,7.428571428571429,0.0098041593180482,-6.884323731352573e-06,1.0742857142857145,1.0742857142857145,0.0031134983261078,-8.665491524827628e-05,data13.csv,1.1570254091768608,1.001536859153818,1.1414700420828108,1.0038079751838416
15,0.56,0.56,0.0661708890452732,0.0029505824191278,1,8.000000000000002,8.000000000000002,0.0105033157214719,0.0004683464157345,1.08,1.08,0.0036773861341654,0.0002469641814062,data14.csv,1.1657567832611486,1.0016273993435052,1.1493509665107293,1.003502259005721
16,0.6,0.6,0.0723682363750097,0.00220390573108,1,8.571428571428571,8.571428571428571,0.0114870216468269,0.0003498263065206,1.0857142857142856,1.0857142857142856,0.0043748208612642,0.0003062316284358,data15.csv,1.176806569230382,1.0016007503932882,1.161682287361228,1.00294700373518
