reg,xi1,xi2,xi3,r1,r2,r3
0,0,0,0,0,0,0
0,-0.000350563,0.001465525,-5.69E-05,-0.002781021,-0.001001465,-1.73E-06
0,0.002392242,0.001345614,-0.001270475,-0.002788663,-0.001001346,4.61E-07
0,0.00193588,0.000968379,-0.000736384,-0.00278739,-0.001000968,1.23E-06
0,0.001440423,0.000165375,-0.001115169,-0.00278601,-0.001000165,9.61E-07
0,0.001865264,0.000527837,-0.000286334,-0.002787194,-0.001000528,9.80E-08
0,0.001193347,0.002052968,5.06E-05,-0.002785322,-0.001002055,3.44E-07
0,0.000209543,0.000631002,-0.002223983,-0.002782584,-0.001000631,1.06E-06
0,0.001653632,-0.000569171,-0.002295193,-0.002786604,-0.000999431,4.00E-09
0,0.000410082,-0.000181579,0.001264141,-0.002783141,-0.000999818,-5.76E-07
0,0.001442982,0.000150995,-7.86E-05,-0.002786017,-0.001000151,2.18E-07
0,0.001640821,0.000725259,-0.001112642,-0.002786569,-0.001000725,5.80E-07
0,0.001717635,0.001035386,-0.000399991,-0.002786782,-0.001001036,4.71E-07
0,0.001909177,0.001065429,-0.000113754,-0.002787316,-0.001001066,3.40E-08
0,0.001871274,0.000816416,-0.001209493,-0.002787211,-0.001000817,2.29E-07
0,0.001839525,0.0007509,-0.001567395,-0.002787123,-0.001000751,6.61E-07
0,0.00253678,0.000750736,-0.000684306,-0.002789066,-0.001000751,-2.50E-08
0,0.001672237,0.000105623,-0.000891741,-0.002786655,-0.001000105,1.13E-06
0,0.000364969,0.000255853,0.000561766,-0.002783016,-0.001000256,-2.66E-07
0,0.001267299,0.000604551,0.000814668,-0.002785528,-0.001000605,-4.52E-07
0,0.001995042,0.001100295,0.000516738,-0.002787556,-0.001001101,-2.57E-07
0,0.001857275,0.001062432,0.000110766,-0.002787172,-0.001001063,-3.50E-08
0,0.002552745,0.000491853,-0.000296025,-0.002789111,-0.001000492,1.06E-07
0,0.00367127,0.000796555,-0.000773615,-0.002792232,-0.001000797,1.88E-07
0,0.003519845,0.001095107,-0.00111134,-0.00279181,-0.001001096,3.06E-07
0,0.00214921,0.00117734,-0.001454878,-0.002787986,-0.001001178,1.02E-06
0,0.001751741,0.000760321,0.000894694,-0.002786878,-0.00100076,-7.44E-07
0,0.001541045,0.000275122,0.001570714,-0.002786291,-0.001000275,-6.83E-07
0,0.001436992,0.000835559,0.000523114,-0.002786001,-0.001000836,-2.23E-07
0,0.001382047,0.000861633,2.60E-05,-0.002785848,-0.001000862,6.90E-08
0,0.001219301,0.000354974,-2.57E-05,-0.002785394,-0.001000355,3.00E-07
0,0.001229491,0.000530417,-0.000980303,-0.002785423,-0.00100053,7.03E-07
0,0.002161283,0.000729897,-0.002472078,-0.002788019,-0.001000729,1.80E-06
0,0.001054779,0.002104589,0.000647177,-0.002784936,-0.001002106,-8.19E-07
0,0.002210655,0.001144218,0.000506401,-0.002788157,-0.001001145,-4.49E-07
0,0.00204209,-0.000150399,0.000947762,-0.002787687,-0.000999849,-5.94E-07
0,0.001713626,0.000444733,0.000602413,-0.002786771,-0.001000445,-4.37E-07
0,0.001598742,0.000561805,-0.00028633,-0.002786451,-0.001000562,2.04E-07
0,0.001088494,0.00020273,-0.000806752,-0.00278503,-0.001000203,4.17E-07
0,0.000683953,-5.52E-05,-0.000628119,-0.002783903,-0.000999945,6.11E-07
0,0.001862573,-0.000167713,-0.001861172,-0.002787184,-0.00099983,2.15E-06
0,-0.001606621,0.000117669,0.005691775,-0.002777532,-0.001000108,-4.39E-06
0,0.001745667,0.000490242,0.000274299,-0.00278686,-0.00100049,6.20E-07
0,0.002771174,0.000815603,0.000438422,-0.00278972,-0.001000816,-1.85E-07
0,0.002822416,-1.54E-05,0.000910878,-0.002789863,-0.000999984,-8.99E-07
0,0.002506923,-9.32E-05,-0.000731206,-0.002788983,-0.000999907,3.69E-07
0,0.002159771,0.00058332,-0.001342376,-0.002788015,-0.001000583,4.58E-07
0,0.00203593,-0.000444117,0.00025127,-0.00278767,-0.000999556,-8.80E-08
0,0.002625466,-0.001241394,-0.000395731,-0.002789312,-0.000998758,1.36E-06
0,0.001193729,-0.001811708,0.001584931,-0.00278532,-0.000998189,9.41E-07
0,0.000584154,-0.000316788,0.00255878,-0.002783627,-0.000999683,-8.06E-07
0,0.000400921,0.001555811,0.000413777,-0.002783116,-0.001001557,4.90E-08
0,0.000362965,5.59E-05,-0.000333802,-0.00278301,-0.001000056,2.49E-07
0,0.000405408,-0.000390093,0.000511006,-0.002783127,-0.000999609,-9.90E-07
0,0.000829728,0.000217178,-0.000337953,-0.002784309,-0.001000217,-3.81E-07
0,0.001367515,-0.000472262,-0.000632389,-0.002785806,-0.000999527,9.50E-07
0,0.001228846,-0.00103528,0.002136893,-0.002785421,-0.000998965,-1.10E-06
0,0.003518726,0.004531016,-0.005034477,-0.002791796,-0.001004528,5.09E-06
0,-0.000111134,0.001276175,0.002007913,-0.00278169,-0.001001275,-1.94E-06
0,-0.00130384,-0.002487089,-6.09E-05,-0.002778375,-0.000997516,1.37E-07
0,-0.001465476,0.002104142,-0.001137572,-0.002777926,-0.001002106,1.09E-06
0,-0.001149808,0.001513603,0.002135589,-0.002778802,-0.001001513,-1.92E-06
0,-0.00023558,-0.004263286,0.001751611,-0.002781345,-0.000995745,-9.46E-07
0,0.000697301,4.54E-05,-0.001192025,-0.002783938,-0.001000044,1.76E-06
0,0.000171365,0.003861366,0.002908123,-0.002782475,-0.001003865,-2.60E-06
0,-0.000979819,0.001415883,-0.000657581,-0.000591419,0.001160636,3.90E-06
0,0.004550634,0.002489758,-0.001546754,-0.0005947,0.001161889,-1.08E-07
0,0.002916735,0.003532406,-0.001181297,-0.000593723,0.001163097,-3.28E-06
0,0.002093461,0.001207577,-0.00436916,-0.000593222,0.001160395,-3.54E-06
0,0.004308073,0.001332468,-0.002343338,-0.000594553,0.001160545,-9.93E-07
0,0.003318197,0.003886072,-6.35E-05,-0.000593967,0.001163512,-1.38E-06
0,0.001794097,0.000453149,-0.005346293,-0.000593047,0.001159522,-2.70E-06
0,0.008804081,-0.002242166,-0.004242289,-0.000597244,0.001156402,2.30E-06
0,0.00123325,-9.62E-05,0.001236275,-0.00059273,0.001158889,1.74E-07
0,0.003115159,0.000240931,0.000308515,-0.000593847,0.001159279,2.11E-07
0,0.003350798,0.001140962,-0.001969369,-0.000593985,0.001160323,-1.06E-06
0,0.003388073,0.002728371,-0.001343596,-0.000594007,0.001162166,-1.49E-06
0,0.003722211,0.00275788,-0.000847317,-0.000594207,0.001162201,-6.29E-07
0,0.003784355,0.001227898,-0.002797774,-0.000594241,0.001160423,-1.19E-06
0,0.004110039,0.001737497,-0.002587239,-0.000594432,0.001161014,-2.01E-06
0,0.006235776,0.002334023,0.00070478,-0.000595702,0.001161708,8.37E-07
0,0.004459051,0.002037216,-0.003917445,-0.000594624,0.001161355,-4.35E-06
0,0.001436154,0.001294711,0.001043414,-0.00059285,0.001160501,7.07E-07
0,0.003740441,0.000586732,0.00266366,-0.000594212,0.001159679,1.97E-06
0,0.004795134,0.002274471,0.000514652,-0.000594844,0.001161638,1.32E-06
0,0.002935702,0.002242336,-0.00094211,-0.00059374,0.001161602,-2.01E-07
0,0.004241322,0.000493978,-0.000280766,-0.000594516,0.001159572,-9.42E-07
0,0.006642311,0.001931006,-0.00168147,-0.000595943,0.00116124,-1.07E-06
0,0.002630554,0.003176279,-0.003283135,-0.000593553,0.001162686,-1.66E-06
0,0.0040478,0.003665135,-0.001750867,-0.000594401,0.001163256,-9.50E-08
0,0.003344628,0.002269099,0.000816538,-0.000593983,0.001161633,7.83E-07
0,0.002664688,0.000432186,0.002818927,-0.000593577,0.001159501,8.07E-07
0,0.002640532,0.001481055,-0.000628579,-0.000593565,0.001160718,2.41E-07
0,0.00330171,0.001455235,-0.001505952,-0.000593957,0.001160688,-6.71E-07
0,0.003271102,0.000360245,0.000888875,-0.00059394,0.001159417,-1.11E-06
0,0.002907533,0.001608795,-0.002159108,-0.00059372,0.001160865,-1.43E-06
0,0.003651343,0.002616605,-0.005681688,-0.000594148,0.001162033,-2.85E-06
0,0.002909069,0.003223908,0.001020706,-0.000593721,0.00116274,2.49E-06
0,0.003842725,0.001938131,0.000220227,-0.000594279,0.001161248,5.63E-07
0,0.003115168,0.000203776,0.001022163,-0.000593847,0.001159236,2.58E-07
0,0.002955628,0.000993509,-7.19E-05,-0.000593752,0.001160152,3.82E-08
0,0.003844725,0.001034195,-0.00078756,-0.00059428,0.001160199,-5.81E-07
0,0.003163187,0.000326905,-0.000377033,-0.000593875,0.001159379,-7.26E-07
0,0.002226964,0.000993521,-0.001513462,-0.000593318,0.001160152,-1.10E-06
0,0.005321052,0.00154769,-0.004416244,-0.000595139,0.001160789,-3.76E-06
0,0.001030792,0.001653238,0.002624137,-0.000592599,0.001160913,3.41E-06
0,0.00293469,0.001243209,0.000452599,-0.00059374,0.001160442,4.87E-08
0,0.005089069,0.000637419,0.001470237,-0.00059502,0.001159739,3.29E-07
0,0.005738693,0.000690602,0.000563639,-0.000595407,0.0011598,7.17E-07
0,0.004563573,0.000698793,-0.000584562,-0.000594708,0.00115981,7.07E-08
0,0.00391833,0.000661875,-0.000416964,-0.000594324,0.001159767,2.14E-07
0,0.004607371,-1.40E-05,0.000281887,-0.000594734,0.001158984,-4.75E-08
0,0.007633866,-0.000461623,-0.002790185,-0.00059652,0.001158457,-4.38E-06
0,0.002735318,0.000876626,0.000146938,-0.000593621,0.001160016,4.11E-07
