frame,axis_0_2,axis_1_3,correct_force_0_2,correct_force_1_3,cycle,strain_x,strain_y,lambda_x,lambda_y,stress_x_mpa,stress_y_mpa
1,0.0,0.0,-0.0042714153233741,0.0005076717433841,1,0.0,0.0,1.0,1.0,-0.0012204043781068,0.0001450490695383
2,0.03,0.03,0.0178072228710159,0.0261746927814105,1,0.4285714285714285,0.4285714285714285,1.0042857142857142,1.0042857142857142,0.0050877779631473,0.0074784836518315
3,0.06,0.06,0.041996297699842,0.0462224622246222,1,0.8571428571428571,0.8571428571428571,1.0085714285714287,1.0085714285714287,0.0119989421999548,0.0132064177784634
4,0.09,0.09,0.0613750673516145,0.0676285642166766,1,1.2857142857142858,1.2857142857142858,1.012857142857143,1.012857142857143,0.0175357335290327,0.0193224469190504
5,0.12,0.12,0.0795913571370907,0.087220872208722,1,1.7142857142857142,1.7142857142857142,1.0171428571428571,1.0171428571428571,0.0227403877534544,0.024920249202492
6,0.15,0.15,0.1006977141923444,0.1080180801808018,1,2.142857142857143,2.142857142857143,1.0214285714285714,1.0214285714285714,0.0287707754835269,0.0308623086230862
7,0.18,0.18,0.1269378806088578,0.1299052818114388,1,2.571428571428572,2.571428571428572,1.0257142857142858,1.0257142857142858,0.036267965888245,0.0371157948032682
8,0.21,0.21,0.1468181209157164,0.1467779677796777,1,3.0,3.0,1.03,1.03,0.0419480345473475,0.041936562222765
9,0.24,0.24,0.1648737927046838,0.1599771170125494,1,3.4285714285714284,3.4285714285714284,1.0342857142857143,1.0342857142857143,0.0471067979156239,0.0457077477178712
10,0.27,0.27,0.1827548502089453,0.1726244762447624,1,3.857142857142857,3.857142857142857,1.0385714285714285,1.0385714285714285,0.05221567148827,0.0493212789270749
11,0.3,0.3,0.2005900544450306,0.1869168691686916,1,4.285714285714286,4.285714285714286,1.042857142857143,1.042857142857143,0.0573114441271516,0.0534048197624833
12,0.33,0.33,0.2198227054967006,0.2020630027728849,1,4.714285714285714,4.714285714285714,1.0471428571428572,1.0471428571428572,0.0628064872847716,0.0577322865065385
13,0.36,0.36,0.2387030105299017,0.2132414944839103,1,5.142857142857143,5.142857142857143,1.0514285714285714,1.0514285714285714,0.0682008601514004,0.0609261412811172
14,0.39,0.39,0.2555011479342932,0.2291666297204843,1,5.571428571428571,5.571428571428571,1.0557142857142856,1.0557142857142856,0.0730003279812266,0.0654761799201383
15,0.42,0.42,0.2708651109231173,0.2403738680243945,1,6.0,6.0,1.06,1.06,0.0773900316923192,0.0686782480069698
16,0.45,0.45,0.2891474003774358,0.2531362813628136,1,6.428571428571429,6.428571428571429,1.0642857142857143,1.0642857142857143,0.0826135429649816,0.0723246518179467
17,0.48,0.48,0.3071534508030379,0.2663354681576372,1,6.857142857142857,6.857142857142857,1.0685714285714285,1.0685714285714285,0.0877581288008679,0.0760958480450391
18,0.51,0.51,0.323823379737938,0.2786030618926879,1,7.285714285714286,7.285714285714286,1.072857142857143,1.072857142857143,0.0925209656394108,0.0796008748264822
19,0.54,0.54,0.3396739380167723,0.289561085266025,1,7.714285714285714,7.714285714285714,1.0771428571428572,1.0771428571428572,0.0970496965762206,0.0827317386474357
20,0.57,0.57,0.3564443323356789,0.307194347805547,1,8.142857142857142,8.142857142857142,1.0814285714285714,1.0814285714285714,0.1018412378101939,0.0877698136587277
21,0.6,0.6,0.3740301399464966,0.3267544744412961,1,8.571428571428571,8.571428571428571,1.0857142857142856,1.0857142857142856,0.1068657542704276,0.0933584212689417
