frame,axis_0_2,axis_1_3,correct_force_0_2,correct_force_1_3,cycle,strain_x,strain_y,lambda_x,lambda_y,stress_x_mpa,stress_y_mpa
1,0.0,0.0,-0.0047812613987993,-0.004580295802958,1,0.0,0.0,1.0,1.0,-0.0006830373426856,-0.0006543279718511
2,0.03,0.03,0.0098624050003191,0.0112793627936279,1,0.1153846153846153,0.1153846153846153,1.001153846153846,1.001153846153846,0.0014089150000455,0.0016113375419468
3,0.06,0.06,0.0254542973795188,0.0243951189511895,1,0.2307692307692307,0.2307692307692307,1.0023076923076923,1.0023076923076923,0.0036363281970741,0.003485016993027
4,0.09,0.09,0.0395485550394209,0.0381403727830381,1,0.3461538461538461,0.3461538461538461,1.0034615384615384,1.0034615384615384,0.0056497935770601,0.0054486246832911
5,0.12,0.12,0.0529221291086926,0.0552045520455204,1,0.4615384615384615,0.4615384615384615,1.0046153846153847,1.0046153846153847,0.0075603041583846,0.0078863645779314
6,0.15,0.15,0.0664782107359737,0.0683512869611454,1,0.5769230769230769,0.5769230769230769,1.0057692307692307,1.0057692307692307,0.0094968872479962,0.0097644695658779
7,0.18,0.18,0.0810994218921747,0.0823233663371116,1,0.6923076923076923,0.6923076923076923,1.006923076923077,1.006923076923077,0.0115856316988821,0.0117604809053016
8,0.21,0.21,0.0960858711896811,0.0939219392193922,1,0.8076923076923077,0.8076923076923077,1.008076923076923,1.008076923076923,0.0137265530270972,0.0134174198884846
9,0.24,0.24,0.1102398578842129,0.1079397518113112,1,0.9230769230769232,0.9230769230769232,1.0092307692307692,1.0092307692307692,0.0157485511263161,0.015419964544473
10,0.27,0.27,0.1219935211683592,0.1219133053399499,1,1.0384615384615383,1.0384615384615383,1.0103846153846154,1.0103846153846154,0.0174276458811941,0.0174161864771357
11,0.3,0.3,0.1354060364236431,0.1349976553952731,1,1.1538461538461535,1.1538461538461535,1.0115384615384615,1.0115384615384615,0.0193437194890918,0.0192853793421818
12,0.33,0.33,0.1502430713919024,0.1492571175711757,1,1.2692307692307692,1.2692307692307692,1.0126923076923078,1.0126923076923078,0.0214632959131289,0.0213224453673108
13,0.36,0.36,0.1642185268450574,0.1663047751167166,1,1.3846153846153846,1.3846153846153846,1.0138461538461538,1.0138461538461538,0.0234597895492939,0.0237578250166738
14,0.39,0.39,0.1771311267329788,0.1773907394246356,1,1.5,1.5,1.015,1.015,0.0253044466761398,0.0253415342035193
15,0.42,0.42,0.1867915837711106,0.192309164470955,1,1.6153846153846154,1.6153846153846154,1.0161538461538462,1.0161538461538462,0.0266845119673015,0.027472737781565
16,0.45,0.45,0.1991052202560484,0.2067934786490722,1,1.7307692307692308,1.7307692307692308,1.0173076923076922,1.0173076923076922,0.0284436028937212,0.029541925521296
17,0.48,0.48,0.2134930857006362,0.2165497670986562,1,1.8461538461538465,1.8461538461538465,1.0184615384615385,1.0184615384615385,0.030499012242948,0.0309356810140937
18,0.51,0.51,0.2257129793923188,0.2335015850158501,1,1.9615384615384612,1.9615384615384612,1.0196153846153846,1.0196153846153846,0.0322447113417598,0.0333573692879785
19,0.54,0.54,0.2376995656110147,0.2489404204386871,1,2.076923076923077,2.076923076923077,1.0207692307692309,1.0207692307692309,0.0339570808015735,0.0355629172055267
20,0.57,0.57,0.2487639779058283,0.260951109511095,1,2.192307692307692,2.192307692307692,1.021923076923077,1.021923076923077,0.035537711129404,0.0372787299301564
21,0.6,0.6,0.261216921410225,0.2735812702954615,1,2.3076923076923075,2.3076923076923075,1.023076923076923,1.023076923076923,0.0373167030586035,0.0390830386136373
22,0.63,0.63,0.2745266764133666,0.2859393680143697,1,2.423076923076923,2.423076923076923,1.0242307692307693,1.0242307692307693,0.0392180966304809,0.0408484811449099
23,0.66,0.66,0.2865813109703455,0.29866274955853,1,2.5384615384615383,2.5384615384615383,1.0253846153846153,1.0253846153846153,0.0409401872814779,0.04266610707979
24,0.69,0.69,0.2972718334844951,0.3082190046038391,1,2.6538461538461537,2.6538461538461537,1.0265384615384616,1.0265384615384616,0.0424674047834993,0.044031286371977
25,0.72,0.72,0.3078576639451141,0.32210626416609,1,2.769230769230769,2.769230769230769,1.0276923076923077,1.0276923076923077,0.0439796662778734,0.0460151805951557
26,0.75,0.75,0.3193670690645525,0.3368009542164387,1,2.8846153846153846,2.8846153846153846,1.0288461538461537,1.0288461538461537,0.0456238670092217,0.0481144220309198
27,0.78,0.78,0.333106202679793,0.3488977820812691,1,3.0,3.0,1.03,1.03,0.0475866003828275,0.0498425402973241
28,0.81,0.81,0.3455419844484504,0.3576596972866281,1,3.1153846153846154,3.1153846153846154,1.031153846153846,1.031153846153846,0.0493631406354929,0.0510942424695183
29,0.84,0.84,0.3553572779596151,0.3703239532395324,1,3.230769230769231,3.230769230769231,1.0323076923076924,1.0323076923076924,0.0507653254228021,0.0529034218913617
30,0.87,0.87,0.3655031600111706,0.3809518267596469,1,3.3461538461538463,3.3461538461538463,1.0334615384615384,1.0334615384615384,0.0522147371444529,0.0544216895370924
31,0.9,0.9,0.3761630209528688,0.3954557045570456,1,3.4615384615384617,3.4615384615384617,1.0346153846153847,1.0346153846153847,0.0537375744218384,0.0564936720795779
32,0.93,0.93,0.3884690057084961,0.4076345073795565,1,3.576923076923077,3.576923076923077,1.0357692307692308,1.0357692307692308,0.0554955722440708,0.0582335010542223
33,0.96,0.96,0.4004666439913134,0.4156174061740618,1,3.692307692307693,3.692307692307693,1.0369230769230768,1.0369230769230768,0.0572095205701876,0.0593739151677231
34,0.99,0.99,0.410882016565767,0.4287162871628716,1,3.807692307692308,3.807692307692308,1.0380769230769231,1.0380769230769231,0.0586974309379667,0.0612451838804102
35,1.02,1.02,0.4195497836156537,0.4392076802541424,1,3.923076923076923,3.923076923076923,1.0392307692307692,1.0392307692307692,0.0599356833736648,0.0627439543220203
36,1.05,1.05,0.4305800449354564,0.4507400332624016,1,4.038461538461538,4.038461538461538,1.0403846153846155,1.0403846153846155,0.0615114349907794,0.0643914333232002
37,1.08,1.08,0.4421437006132795,0.4589777394079359,1,4.153846153846154,4.153846153846154,1.0415384615384615,1.0415384615384615,0.063163385801897,0.0655682484868479
38,1.11,1.11,0.4538647835367315,0.4736784867848678,1,4.26923076923077,4.26923076923077,1.0426923076923078,1.0426923076923078,0.064837826219533,0.0676683552549811
39,1.14,1.14,0.4635463487637357,0.4833787993052345,1,4.384615384615384,4.384615384615384,1.0438461538461539,1.0438461538461539,0.0662209069662479,0.069054114186462
40,1.17,1.17,0.4725423815076153,0.4955009550095501,1,4.5,4.5,1.045,1.045,0.0675060545010879,0.07078585071565
41,1.2,1.2,0.4843497355769199,0.5090114435627116,1,4.615384615384615,4.615384615384615,1.0461538461538462,1.0461538461538462,0.0691928193681314,0.0727159205089588
