file,frame,cell,x,y,F_AniFEM_xx,F_AniFEM_xy,F_AniFEM_yx,F_AniFEM_yy,C_xx,C_yy,C_xy,PK2_xx,PK2_yy,PK2_xy,xi1,xi2,xi3,dpsidksi1,dpsidksi2,dpsidksi3,dpsidksi1_Sxy0,dpsidksi2_Sxy0,dpsidksi3_Sxy0
0_1_stretch1_01_txt.vtk,0,300,-3.852422,-3.867523,0.995248,-2.9e-05,-0.004459,-1.017765,0.990539,1.035846,0.00451,0.00693,0.025531,0.001851,-0.004753,0.017599,0.004553,0.006881,0.026445,0.001949,0.006864,0.026445,0.000115
0_1_stretch1_01_txt.vtk,0,304,-3.791028,-3.590051,0.995258,-7.5e-05,-0.004479,-1.017671,0.990558,1.035654,0.004483,0.006868,0.025388,0.001841,-0.004744,0.017507,0.004526,0.006819,0.026293,0.001938,0.006803,0.026293,0.000114
0_1_stretch1_01_txt.vtk,0,307,-4.005184,-3.401478,0.995448,9.8e-05,-0.004129,-1.017353,0.990933,1.035006,0.004298,0.006926,0.025034,0.001766,-0.004554,0.017195,0.004337,0.006878,0.02591,0.001858,0.006862,0.02591,0.000108
0_1_stretch1_01_txt.vtk,0,316,0.307087,-4.302629,0.994094,2.9e-05,0.000402,-1.019764,0.988223,1.039919,-0.000381,0.006625,0.02778,-0.000156,-0.005923,0.019571,-0.000386,0.006547,0.028889,-0.000165,0.006547,0.028889,-1.1e-05
0_1_stretch1_01_txt.vtk,0,322,0.462161,-4.767575,0.994183,7.5e-05,0.000629,-1.019838,0.9884,1.04007,-0.000567,0.006839,0.02797,-0.000232,-0.005834,0.019644,-0.000573,0.00676,0.029091,-0.000245,0.00676,0.029091,-1.6e-05
0_1_stretch1_01_txt.vtk,0,324,0.522302,-4.490015,0.994177,0.000104,0.000581,-1.019602,0.988388,1.039588,-0.00049,0.006632,0.02759,-0.0002,-0.00584,0.019412,-0.000495,0.006555,0.028683,-0.000212,0.006555,0.028683,-1.4e-05
0_1_stretch1_01_txt.vtk,0,326,0.70071,-3.658619,0.994065,7.6e-05,0.000692,-1.019422,0.988166,1.039221,-0.00063,0.00629,0.027213,-0.000258,-0.005952,0.019235,-0.000638,0.006216,0.028281,-0.000272,0.006216,0.028281,-1.7e-05
0_1_stretch1_01_txt.vtk,0,330,-3.829236,-2.569826,0.995429,0.000156,-0.002973,-1.0172,0.990887,1.034695,0.003179,0.006766,0.024777,0.001307,-0.004577,0.017049,0.003208,0.006712,0.025637,0.001374,0.006704,0.025637,7.9e-05
0_1_stretch1_01_txt.vtk,0,342,-3.653862,-1.73865,0.995372,0.000152,-0.001883,-1.017142,0.990769,1.034578,0.002067,0.00662,0.024641,0.00085,-0.004637,0.016995,0.002087,0.006563,0.025493,0.000894,0.006559,0.025493,5.1e-05
0_1_stretch1_01_txt.vtk,0,343,-3.809725,-1.272504,0.995544,0.000158,-0.001407,-1.016842,0.99111,1.033968,0.001588,0.006664,0.024302,0.000653,-0.004465,0.016701,0.001602,0.006607,0.025127,0.000686,0.006605,0.025127,3.9e-05
0_1_stretch1_01_txt.vtk,0,344,-3.594715,-1.461765,0.995398,2.4e-05,-0.00186,-1.017256,0.990822,1.03481,0.001916,0.006762,0.024846,0.000788,-0.00461,0.017107,0.001934,0.006703,0.025711,0.000828,0.0067,0.025711,4.8e-05
0_1_stretch1_01_txt.vtk,0,345,-1.87953,-3.986581,0.994308,-0.000213,-0.002283,-1.019195,0.988654,1.038759,0.002115,0.006517,0.02705,0.000867,-0.005706,0.019011,0.002139,0.006447,0.028098,0.000914,0.006443,0.028098,5.7e-05
0_1_stretch1_01_txt.vtk,0,352,-2.688374,-4.256293,0.994576,-0.000294,-0.003507,-1.018858,0.989193,1.038071,0.003281,0.006695,0.026729,0.001345,-0.005433,0.018677,0.003316,0.006631,0.027747,0.001418,0.006622,0.027747,8.8e-05
0_1_stretch1_01_txt.vtk,0,359,-3.748318,-0.995734,0.995575,9e-06,-0.001371,-1.017018,0.991172,1.034326,0.001403,0.006865,0.02461,0.000577,-0.004434,0.016874,0.001415,0.006806,0.025455,0.000606,0.006804,0.025455,3.5e-05
0_1_stretch1_01_txt.vtk,0,364,-3.946285,-3.12419,0.995465,1.1e-05,-0.004138,-1.017306,0.990969,1.034912,0.004221,0.006918,0.024975,0.001734,-0.004536,0.01715,0.004259,0.00687,0.025847,0.001824,0.006855,0.025847,0.000105
0_1_stretch1_01_txt.vtk,0,365,-3.770816,-2.292714,0.995452,4.2e-05,-0.002965,-1.017235,0.990934,1.034767,0.003059,0.006836,0.024854,0.001257,-0.004554,0.017084,0.003087,0.006781,0.025718,0.001322,0.006774,0.025718,7.6e-05
0_1_stretch1_01_txt.vtk,0,380,-3.613474,-2.758501,0.995257,0.0,-0.003355,-1.017547,0.990548,1.035401,0.003414,0.006763,0.025192,0.001403,-0.004748,0.017389,0.003446,0.006709,0.026084,0.001475,0.006699,0.026084,8.6e-05
0_1_stretch1_01_txt.vtk,0,389,2.443084,-4.88881,0.994523,0.000434,0.003311,-1.019119,0.989088,1.038603,-0.002943,0.006824,0.027103,-0.001205,-0.005486,0.018934,-0.002976,0.006756,0.028149,-0.001272,0.006749,0.028149,-8e-05
0_1_stretch1_01_txt.vtk,0,391,0.214649,-3.559786,0.994023,2.2e-05,0.000159,-1.019471,0.988081,1.039321,-0.00014,0.006258,0.027257,-5.8e-05,-0.005995,0.019284,-0.000142,0.006183,0.028328,-6.1e-05,0.006183,0.028328,-4e-06
