,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
0,tensor(1.0009),tensor(1.0008),tensor(0.0007),tensor(0.0097),100_100,8.7631466e-05,0.0013542457
1,tensor(1.0081),tensor(1.0049),tensor(0.0020),tensor(0.0199),100_100,0.00059801765,0.008752284
2,tensor(1.0151),tensor(1.0083),tensor(0.0031),tensor(0.0269),100_100,0.0011610256,0.015244095
3,tensor(1.0219),tensor(1.0111),tensor(0.0039),tensor(0.0351),100_100,0.001846055,0.02109335
4,tensor(1.0286),tensor(1.0136),tensor(0.0047),tensor(0.0469),100_100,0.002710608,0.026597843
5,tensor(1.0353),tensor(1.0158),tensor(0.0059),tensor(0.0610),100_100,0.0038187022,0.032096896
6,tensor(1.0419),tensor(1.0179),tensor(0.0079),tensor(0.0768),100_100,0.0052248444,0.037832573
7,tensor(1.0489),tensor(1.0205),tensor(0.0097),tensor(0.0925),100_100,0.007235688,0.045293562
8,tensor(1.0561),tensor(1.0234),tensor(0.0119),tensor(0.1106),100_100,0.009909079,0.053979836
9,tensor(1.0633),tensor(1.0265),tensor(0.0147),tensor(0.1336),100_100,0.013338636,0.06407976
10,tensor(1.0702),tensor(1.0295),tensor(0.0180),tensor(0.1591),100_100,0.017332988,0.07472524
11,tensor(1.0774),tensor(1.0328),tensor(0.0215),tensor(0.1898),100_100,0.022425354,0.08739206
12,tensor(1.0842),tensor(1.0366),tensor(0.0265),tensor(0.2228),100_100,0.028601114,0.10239305
13,tensor(1.0914),tensor(1.0407),tensor(0.0325),tensor(0.2606),100_100,0.036331315,0.12003641
14,tensor(1.0978),tensor(1.0450),tensor(0.0393),tensor(0.3033),100_100,0.044927415,0.13909249
15,tensor(1.1044),tensor(1.0496),tensor(0.0480),tensor(0.3531),100_100,0.05536262,0.16147348
16,tensor(1.1117),tensor(1.0550),tensor(0.0587),tensor(0.4077),100_100,0.069151975,0.18974432
17,tensor(1.1184),tensor(1.0602),tensor(0.0715),tensor(0.4709),100_100,0.083966844,0.21909589
18,tensor(1.1237),tensor(1.0644),tensor(0.0878),tensor(0.5436),100_100,0.09746253,0.24495792
19,tensor(1.1265),tensor(1.0666),tensor(0.1073),tensor(0.6258),100_100,0.10496568,0.25905168
20,tensor(1.1272),tensor(1.0669),tensor(0.1245),tensor(0.6912),100_100,0.10642753,0.26142684
22,tensor(1.0079),tensor(1.0076),tensor(0.),tensor(0.),100_075,0.0008963791,0.013160851
23,tensor(1.0099),tensor(1.0077),tensor(0.),tensor(0.0010),100_075,0.000945341,0.013519408
24,tensor(1.0142),tensor(1.0086),tensor(0.0012),tensor(0.0092),100_075,0.0011723462,0.0156524
25,tensor(1.0203),tensor(1.0104),tensor(0.0021),tensor(0.0155),100_075,0.0016519523,0.019541476
26,tensor(1.0273),tensor(1.0126),tensor(0.0029),tensor(0.0218),100_075,0.002437118,0.02459412
27,tensor(1.0343),tensor(1.0143),tensor(0.0039),tensor(0.0297),100_075,0.0034017996,0.029094134
28,tensor(1.0412),tensor(1.0163),tensor(0.0050),tensor(0.0393),100_075,0.0047234674,0.034533206
29,tensor(1.0487),tensor(1.0180),tensor(0.0061),tensor(0.0489),100_075,0.0064522554,0.040010646
30,tensor(1.0561),tensor(1.0197),tensor(0.0077),tensor(0.0592),100_075,0.008644481,0.04621139
31,tensor(1.0639),tensor(1.0216),tensor(0.0098),tensor(0.0702),100_075,0.011476675,0.053320404
32,tensor(1.0722),tensor(1.0235),tensor(0.0120),tensor(0.0845),100_075,0.01516732,0.061700642
33,tensor(1.0798),tensor(1.0250),tensor(0.0144),tensor(0.1015),100_075,0.019118717,0.06971924
34,tensor(1.0876),tensor(1.0267),tensor(0.0176),tensor(0.1200),100_075,0.023907105,0.07895723
35,tensor(1.0951),tensor(1.0285),tensor(0.0214),tensor(0.1389),100_075,0.029416528,0.08931965
36,tensor(1.1024),tensor(1.0304),tensor(0.0257),tensor(0.1628),100_075,0.0356345,0.100779176
37,tensor(1.1101),tensor(1.0325),tensor(0.0309),tensor(0.1898),100_075,0.043214954,0.11434189
38,tensor(1.1186),tensor(1.0356),tensor(0.0373),tensor(0.2202),100_075,0.053661995,0.13346376
39,tensor(1.1266),tensor(1.0386),tensor(0.0455),tensor(0.2573),100_075,0.064937055,0.15338089
40,tensor(1.1328),tensor(1.0412),tensor(0.0562),tensor(0.3016),100_075,0.075054884,0.17116368
41,tensor(1.1365),tensor(1.0428),tensor(0.0694),tensor(0.3533),100_075,0.08180455,0.18287158
42,tensor(1.1375),tensor(1.0432),tensor(0.0816),tensor(0.3977),100_075,0.083502874,0.1857436
44,tensor(1.0100),tensor(1.0099),tensor(0.),tensor(0.),075_100,0.0012129571,0.01731194
45,tensor(1.0107),tensor(1.0110),tensor(0.),tensor(0.0039),075_100,0.0013644845,0.019249322
46,tensor(1.0131),tensor(1.0130),tensor(0.0002),tensor(0.0128),075_100,0.0017116733,0.023177356
47,tensor(1.0172),tensor(1.0156),tensor(0.0012),tensor(0.0199),075_100,0.0022601674,0.02833121
48,tensor(1.0216),tensor(1.0179),tensor(0.0019),tensor(0.0284),075_100,0.002917136,0.033340756
49,tensor(1.0263),tensor(1.0197),tensor(0.0025),tensor(0.0402),075_100,0.0036582174,0.03780846
50,tensor(1.0311),tensor(1.0215),tensor(0.0034),tensor(0.0540),075_100,0.004550687,0.042278297
51,tensor(1.0362),tensor(1.0232),tensor(0.0048),tensor(0.0692),075_100,0.0056661787,0.04700214
52,tensor(1.0413),tensor(1.0251),tensor(0.0062),tensor(0.0854),075_100,0.007075162,0.052457817
53,tensor(1.0465),tensor(1.0274),tensor(0.0078),tensor(0.1054),075_100,0.0088817375,0.059102405
54,tensor(1.0518),tensor(1.0302),tensor(0.0096),tensor(0.1299),075_100,0.01123062,0.06732485
55,tensor(1.0572),tensor(1.0334),tensor(0.0120),tensor(0.1590),075_100,0.014300517,0.07750239
56,tensor(1.0628),tensor(1.0373),tensor(0.0155),tensor(0.1920),075_100,0.018270195,0.08998158
57,tensor(1.0682),tensor(1.0415),tensor(0.0196),tensor(0.2294),075_100,0.02307927,0.10431814
58,tensor(1.0733),tensor(1.0457),tensor(0.0241),tensor(0.2713),075_100,0.02853805,0.11960286
59,tensor(1.0785),tensor(1.0505),tensor(0.0302),tensor(0.3199),075_100,0.035383508,0.13791454
60,tensor(1.0843),tensor(1.0560),tensor(0.0372),tensor(0.3732),075_100,0.044376574,0.16069514
61,tensor(1.0895),tensor(1.0610),tensor(0.0460),tensor(0.4326),075_100,0.053876944,0.18351513
62,tensor(1.0934),tensor(1.0650),tensor(0.0565),tensor(0.5005),075_100,0.06204029,0.20247784
63,tensor(1.0958),tensor(1.0675),tensor(0.0698),tensor(0.5797),075_100,0.06746225,0.21478134
64,tensor(1.0963),tensor(1.0679),tensor(0.0816),tensor(0.6431),075_100,0.06852785,0.2169746
68,tensor(1.0153),tensor(1.0094),tensor(0.),tensor(0.),100_050,0.0013103997,0.017155528
69,tensor(1.0204),tensor(1.0098),tensor(0.0008),tensor(0.0021),100_050,0.0015654363,0.018439824
70,tensor(1.0272),tensor(1.0106),tensor(0.0019),tensor(0.0061),100_050,0.0020999135,0.021076756
71,tensor(1.0341),tensor(1.0119),tensor(0.0027),tensor(0.0109),100_050,0.0029088398,0.02466333
72,tensor(1.0407),tensor(1.0132),tensor(0.0035),tensor(0.0159),100_050,0.0039347294,0.028490294
73,tensor(1.0472),tensor(1.0148),tensor(0.0047),tensor(0.0213),100_050,0.0053149145,0.033328533
74,tensor(1.0546),tensor(1.0162),tensor(0.0059),tensor(0.0279),100_050,0.0071789073,0.03854954
75,tensor(1.0619),tensor(1.0175),tensor(0.0071),tensor(0.0321),100_050,0.009379441,0.043855153
76,tensor(1.0689),tensor(1.0185),tensor(0.0086),tensor(0.0395),100_050,0.011835918,0.049034588
77,tensor(1.0759),tensor(1.0193),tensor(0.0104),tensor(0.0455),100_050,0.01464101,0.054345407
78,tensor(1.0829),tensor(1.0199),tensor(0.0123),tensor(0.0507),100_050,0.01781263,0.05975187
79,tensor(1.0901),tensor(1.0204),tensor(0.0148),tensor(0.0574),100_050,0.021454595,0.0655817
80,tensor(1.0981),tensor(1.0209),tensor(0.0173),tensor(0.0655),100_050,0.026027141,0.07263437
81,tensor(1.1051),tensor(1.0212),tensor(0.0204),tensor(0.0773),100_050,0.03041118,0.079086736
82,tensor(1.1125),tensor(1.0217),tensor(0.0240),tensor(0.0895),100_050,0.035832472,0.087278545
83,tensor(1.1213),tensor(1.0225),tensor(0.0283),tensor(0.1047),100_050,0.043146603,0.098402284
84,tensor(1.1294),tensor(1.0233),tensor(0.0334),tensor(0.1226),100_050,0.05083339,0.11006873
85,tensor(1.1360),tensor(1.0240),tensor(0.0398),tensor(0.1400),100_050,0.0576063,0.12022096
86,tensor(1.1390),tensor(1.0241),tensor(0.0483),tensor(0.1640),100_050,0.060731374,0.124695726
89,tensor(1.0103),tensor(1.0118),tensor(0.),tensor(0.0036),050_100,0.0014576142,0.02064309
90,tensor(1.0106),tensor(1.0137),tensor(0.),tensor(0.0127),050_100,0.0017056514,0.02395218
91,tensor(1.0127),tensor(1.0159),tensor(0.0002),tensor(0.0201),050_100,0.002089574,0.028246127
92,tensor(1.0154),tensor(1.0182),tensor(0.0007),tensor(0.0273),050_100,0.0025686063,0.0329559
93,tensor(1.0182),tensor(1.0203),tensor(0.0012),tensor(0.0395),050_100,0.003090604,0.037454035
94,tensor(1.0211),tensor(1.0220),tensor(0.0020),tensor(0.0520),050_100,0.0036305147,0.041329313
