,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
0,tensor(1.0009),tensor(1.0008),tensor(0.0007),tensor(0.0097),100_100,0.000102357,0.004899662
1,tensor(1.0081),tensor(1.0049),tensor(0.0020),tensor(0.0199),100_100,0.00076022523,0.031052083
2,tensor(1.0151),tensor(1.0083),tensor(0.0031),tensor(0.0269),100_100,0.0017591066,0.05370297
3,tensor(1.0219),tensor(1.0111),tensor(0.0039),tensor(0.0351),100_100,0.0033212798,0.07380538
4,tensor(1.0286),tensor(1.0136),tensor(0.0047),tensor(0.0469),100_100,0.005614602,0.09243273
5,tensor(1.0353),tensor(1.0158),tensor(0.0059),tensor(0.0610),100_100,0.0088202655,0.110802755
6,tensor(1.0419),tensor(1.0179),tensor(0.0079),tensor(0.0768),100_100,0.013094977,0.12978609
7,tensor(1.0489),tensor(1.0205),tensor(0.0097),tensor(0.0925),100_100,0.019292371,0.15470538
8,tensor(1.0561),tensor(1.0234),tensor(0.0119),tensor(0.1106),100_100,0.027673725,0.18353286
9,tensor(1.0633),tensor(1.0265),tensor(0.0147),tensor(0.1336),100_100,0.038484253,0.21691814
10,tensor(1.0702),tensor(1.0295),tensor(0.0180),tensor(0.1591),100_100,0.05113172,0.25174582
11,tensor(1.0774),tensor(1.0328),tensor(0.0215),tensor(0.1898),100_100,0.06720432,0.29289848
12,tensor(1.0842),tensor(1.0366),tensor(0.0265),tensor(0.2228),100_100,0.08640114,0.3417399
13,tensor(1.0914),tensor(1.0407),tensor(0.0325),tensor(0.2606),100_100,0.11025409,0.39855272
14,tensor(1.0978),tensor(1.0450),tensor(0.0393),tensor(0.3033),100_100,0.13636614,0.45966348
15,tensor(1.1044),tensor(1.0496),tensor(0.0480),tensor(0.3531),100_100,0.16759782,0.53092796
16,tensor(1.1117),tensor(1.0550),tensor(0.0587),tensor(0.4077),100_100,0.20833176,0.6198089
17,tensor(1.1184),tensor(1.0602),tensor(0.0715),tensor(0.4709),100_100,0.25139675,0.71106786
18,tensor(1.1237),tensor(1.0644),tensor(0.0878),tensor(0.5436),100_100,0.29015446,0.7904767
19,tensor(1.1265),tensor(1.0666),tensor(0.1073),tensor(0.6258),100_100,0.31151992,0.83339226
20,tensor(1.1272),tensor(1.0669),tensor(0.1245),tensor(0.6912),100_100,0.31585205,0.8401657
22,tensor(1.0079),tensor(1.0076),tensor(0.),tensor(0.),100_075,0.0011692875,0.04781211
23,tensor(1.0099),tensor(1.0077),tensor(0.),tensor(0.0010),100_075,0.001274929,0.04861774
24,tensor(1.0142),tensor(1.0086),tensor(0.0012),tensor(0.0092),100_075,0.0017419173,0.05550109
25,tensor(1.0203),tensor(1.0104),tensor(0.0021),tensor(0.0155),100_075,0.002859404,0.068431534
26,tensor(1.0273),tensor(1.0126),tensor(0.0029),tensor(0.0218),100_075,0.0049322126,0.08529964
27,tensor(1.0343),tensor(1.0143),tensor(0.0039),tensor(0.0297),100_075,0.0077841533,0.09985888
28,tensor(1.0412),tensor(1.0163),tensor(0.0050),tensor(0.0393),100_075,0.01181821,0.11771115
29,tensor(1.0487),tensor(1.0180),tensor(0.0061),tensor(0.0489),100_075,0.017389094,0.13506459
30,tensor(1.0561),tensor(1.0197),tensor(0.0077),tensor(0.0592),100_075,0.024564907,0.1546874
31,tensor(1.0639),tensor(1.0216),tensor(0.0098),tensor(0.0702),100_075,0.033964276,0.17692918
32,tensor(1.0722),tensor(1.0235),tensor(0.0120),tensor(0.0845),100_075,0.046313573,0.20282929
33,tensor(1.0798),tensor(1.0250),tensor(0.0144),tensor(0.1015),100_075,0.05968121,0.22700691
34,tensor(1.0876),tensor(1.0267),tensor(0.0176),tensor(0.1200),100_075,0.07588054,0.25462013
35,tensor(1.0951),tensor(1.0285),tensor(0.0214),tensor(0.1389),100_075,0.09441757,0.28551343
36,tensor(1.1024),tensor(1.0304),tensor(0.0257),tensor(0.1628),100_075,0.11518712,0.31956002
37,tensor(1.1101),tensor(1.0325),tensor(0.0309),tensor(0.1898),100_075,0.14036475,0.35947144
38,tensor(1.1186),tensor(1.0356),tensor(0.0373),tensor(0.2202),100_075,0.17426084,0.41639736
39,tensor(1.1266),tensor(1.0386),tensor(0.0455),tensor(0.2573),100_075,0.21053167,0.47480315
40,tensor(1.1328),tensor(1.0412),tensor(0.0562),tensor(0.3016),100_075,0.2425659,0.52680355
41,tensor(1.1365),tensor(1.0428),tensor(0.0694),tensor(0.3533),100_075,0.2637604,0.5607992
42,tensor(1.1375),tensor(1.0432),tensor(0.0816),tensor(0.3977),100_075,0.26911205,0.5690277
44,tensor(1.0100),tensor(1.0099),tensor(0.),tensor(0.),075_100,0.0016693893,0.062983915
45,tensor(1.0107),tensor(1.0110),tensor(0.),tensor(0.0039),075_100,0.0019194733,0.070125
46,tensor(1.0131),tensor(1.0130),tensor(0.0002),tensor(0.0128),075_100,0.0025621979,0.08431054
47,tensor(1.0172),tensor(1.0156),tensor(0.0012),tensor(0.0199),075_100,0.0037329728,0.10260072
48,tensor(1.0216),tensor(1.0179),tensor(0.0019),tensor(0.0284),075_100,0.0053141797,0.12014513
49,tensor(1.0263),tensor(1.0197),tensor(0.0025),tensor(0.0402),075_100,0.0072813113,0.1354762
50,tensor(1.0311),tensor(1.0215),tensor(0.0034),tensor(0.0540),075_100,0.009795373,0.15062432
51,tensor(1.0362),tensor(1.0232),tensor(0.0048),tensor(0.0692),075_100,0.013075592,0.16644266
52,tensor(1.0413),tensor(1.0251),tensor(0.0062),tensor(0.0854),075_100,0.01729227,0.18476744
53,tensor(1.0465),tensor(1.0274),tensor(0.0078),tensor(0.1054),075_100,0.022723757,0.20726374
54,tensor(1.0518),tensor(1.0302),tensor(0.0096),tensor(0.1299),075_100,0.029788798,0.23524964
55,tensor(1.0572),tensor(1.0334),tensor(0.0120),tensor(0.1590),075_100,0.039005257,0.26995468
56,tensor(1.0628),tensor(1.0373),tensor(0.0155),tensor(0.1920),075_100,0.050860308,0.31250632
57,tensor(1.0682),tensor(1.0415),tensor(0.0196),tensor(0.2294),075_100,0.0651171,0.3612815
58,tensor(1.0733),tensor(1.0457),tensor(0.0241),tensor(0.2713),075_100,0.08121044,0.4129362
59,tensor(1.0785),tensor(1.0505),tensor(0.0302),tensor(0.3199),075_100,0.10118659,0.47451785
60,tensor(1.0843),tensor(1.0560),tensor(0.0372),tensor(0.3732),075_100,0.12716347,0.55048907
61,tensor(1.0895),tensor(1.0610),tensor(0.0460),tensor(0.4326),075_100,0.15432426,0.62582946
62,tensor(1.0934),tensor(1.0650),tensor(0.0565),tensor(0.5005),075_100,0.17740634,0.6879971
63,tensor(1.0958),tensor(1.0675),tensor(0.0698),tensor(0.5797),075_100,0.19262306,0.72811025
64,tensor(1.0963),tensor(1.0679),tensor(0.0816),tensor(0.6431),075_100,0.19566831,0.7350625
68,tensor(1.0153),tensor(1.0094),tensor(0.),tensor(0.),100_050,0.0020056902,0.060879793
69,tensor(1.0204),tensor(1.0098),tensor(0.0008),tensor(0.0021),100_050,0.002716866,0.064230144
70,tensor(1.0272),tensor(1.0106),tensor(0.0019),tensor(0.0061),100_050,0.0042662644,0.07207475
71,tensor(1.0341),tensor(1.0119),tensor(0.0027),tensor(0.0109),100_050,0.0067145163,0.08327487
72,tensor(1.0407),tensor(1.0132),tensor(0.0035),tensor(0.0159),100_050,0.009963326,0.09524501
73,tensor(1.0472),tensor(1.0148),tensor(0.0047),tensor(0.0213),100_050,0.014379274,0.11075904
74,tensor(1.0546),tensor(1.0162),tensor(0.0059),tensor(0.0279),100_050,0.020591032,0.12692681
75,tensor(1.0619),tensor(1.0175),tensor(0.0071),tensor(0.0321),100_050,0.028083595,0.14301415
76,tensor(1.0689),tensor(1.0185),tensor(0.0086),tensor(0.0395),100_050,0.036597334,0.15829965
77,tensor(1.0759),tensor(1.0193),tensor(0.0104),tensor(0.0455),100_050,0.046451844,0.17356047
78,tensor(1.0829),tensor(1.0199),tensor(0.0123),tensor(0.0507),100_050,0.05775281,0.18856639
79,tensor(1.0901),tensor(1.0204),tensor(0.0148),tensor(0.0574),100_050,0.07084038,0.2043996
80,tensor(1.0981),tensor(1.0209),tensor(0.0173),tensor(0.0655),100_050,0.08735162,0.22330654
81,tensor(1.1051),tensor(1.0212),tensor(0.0204),tensor(0.0773),100_050,0.103306234,0.24020192
82,tensor(1.1125),tensor(1.0217),tensor(0.0240),tensor(0.0895),100_050,0.12289931,0.26202318
83,tensor(1.1213),tensor(1.0225),tensor(0.0283),tensor(0.1047),100_050,0.14920053,0.2917592
84,tensor(1.1294),tensor(1.0233),tensor(0.0334),tensor(0.1226),100_050,0.17672719,0.32284248
85,tensor(1.1360),tensor(1.0240),tensor(0.0398),tensor(0.1400),100_050,0.20097122,0.34959275
86,tensor(1.1390),tensor(1.0241),tensor(0.0483),tensor(0.1640),100_050,0.21230328,0.3609833
89,tensor(1.0103),tensor(1.0118),tensor(0.),tensor(0.0036),050_100,0.0020516017,0.07551491
90,tensor(1.0106),tensor(1.0137),tensor(0.),tensor(0.0127),050_100,0.0024523707,0.08796944
91,tensor(1.0127),tensor(1.0159),tensor(0.0002),tensor(0.0201),050_100,0.0031772926,0.10361833
92,tensor(1.0154),tensor(1.0182),tensor(0.0007),tensor(0.0273),050_100,0.004174848,0.12063961
93,tensor(1.0182),tensor(1.0203),tensor(0.0012),tensor(0.0395),050_100,0.0053539323,0.13679352
94,tensor(1.0211),tensor(1.0220),tensor(0.0020),tensor(0.0520),050_100,0.0066832416,0.15047574
95,tensor(1.0240),tensor(1.0237),tensor(0.0029),tensor(0.0675),050_100,0.008221608,0.164216
96,tensor(1.0272),tensor(1.0255),tensor(0.0037),tensor(0.0836),050_100,0.010235041,0.17963319
97,tensor(1.0305),tensor(1.0277),tensor(0.0049),tensor(0.1028),050_100,0.012832444,0.1985142
98,tensor(1.0343),tensor(1.0305),tensor(0.0066),tensor(0.1259),050_100,0.016597318,0.22339042
99,tensor(1.0376),tensor(1.0335),tensor(0.0085),tensor(0.1531),050_100,0.020883417,0.25101316
100,tensor(1.0409),tensor(1.0368),tensor(0.0107),tensor(0.1843),050_100,0.026121993,0.28264675
101,tensor(1.0442),tensor(1.0409),tensor(0.0134),tensor(0.2188),050_100,0.033142827,0.32345465
102,tensor(1.0477),tensor(1.0452),tensor(0.0166),tensor(0.2578),050_100,0.04164138,0.3687307
103,tensor(1.0512),tensor(1.0501),tensor(0.0201),tensor(0.3021),050_100,0.05237894,0.42242464
104,tensor(1.0547),tensor(1.0554),tensor(0.0247),tensor(0.3510),050_100,0.065409884,0.48366117
105,tensor(1.0582),tensor(1.0604),tensor(0.0303),tensor(0.4048),050_100,0.07988939,0.5461287
106,tensor(1.0609),tensor(1.0646),tensor(0.0368),tensor(0.4692),050_100,0.09306437,0.6002841
107,tensor(1.0627),tensor(1.0671),tensor(0.0454),tensor(0.5442),050_100,0.10187746,0.6347498
108,tensor(1.0634),tensor(1.0679),tensor(0.0522),tensor(0.6052),050_100,0.10511647,0.64615333
112,tensor(1.0166),tensor(1.0102),tensor(0.0001),tensor(0.),100_030,0.002315428,0.066207334
113,tensor(1.0224),tensor(1.0105),tensor(0.0014),tensor(0.),100_030,0.0032307375,0.069534555
114,tensor(1.0297),tensor(1.0110),tensor(0.0024),tensor(0.0009),100_030,0.005028759,0.07539114
115,tensor(1.0369),tensor(1.0117),tensor(0.0030),tensor(0.0045),100_030,0.0076787933,0.08319721
116,tensor(1.0440),tensor(1.0120),tensor(0.0038),tensor(0.0067),100_030,0.011003419,0.08889714
117,tensor(1.0510),tensor(1.0127),tensor(0.0049),tensor(0.0121),100_030,0.015528741,0.098443784
118,tensor(1.0583),tensor(1.0133),tensor(0.0061),tensor(0.0158),100_030,0.021365196,0.108332954
119,tensor(1.0656),tensor(1.0139),tensor(0.0072),tensor(0.0196),100_030,0.028632766,0.119590804
120,tensor(1.0728),tensor(1.0144),tensor(0.0089),tensor(0.0255),100_030,0.03699748,0.13101882
121,tensor(1.0800),tensor(1.0152),tensor(0.0105),tensor(0.0283),100_030,0.047257923,0.14596412
122,tensor(1.0873),tensor(1.0157),tensor(0.0124),tensor(0.0327),100_030,0.05916293,0.16047455
123,tensor(1.0948),tensor(1.0164),tensor(0.0145),tensor(0.0378),100_030,0.07346833,0.17890458
124,tensor(1.1029),tensor(1.0169),tensor(0.0168),tensor(0.0400),100_030,0.090742275,0.19843245
