,lamx,lamy,Px,Py,experiment_type,P11_model,P22_model
0,tensor(1.0009),tensor(1.0008),tensor(0.0007),tensor(0.0097),100_100,1.6242872,1.656296
1,tensor(1.0081),tensor(1.0049),tensor(0.0020),tensor(0.0199),100_100,1.7340965,1.751306
2,tensor(1.0151),tensor(1.0083),tensor(0.0031),tensor(0.0269),100_100,1.8383071,1.8370998
3,tensor(1.0219),tensor(1.0111),tensor(0.0039),tensor(0.0351),100_100,1.9388422,1.9161112
4,tensor(1.0286),tensor(1.0136),tensor(0.0047),tensor(0.0469),100_100,2.037669,1.9908576
5,tensor(1.0353),tensor(1.0158),tensor(0.0059),tensor(0.0610),100_100,2.1368465,2.063961
6,tensor(1.0419),tensor(1.0179),tensor(0.0079),tensor(0.0768),100_100,2.2369225,2.1367435
7,tensor(1.0489),tensor(1.0205),tensor(0.0097),tensor(0.0925),100_100,2.3479505,2.2204514
8,tensor(1.0561),tensor(1.0234),tensor(0.0119),tensor(0.1106),100_100,2.4674344,2.3107615
9,tensor(1.0633),tensor(1.0265),tensor(0.0147),tensor(0.1336),100_100,2.592679,2.4067812
10,tensor(1.0702),tensor(1.0295),tensor(0.0180),tensor(0.1591),100_100,2.716064,2.5012336
11,tensor(1.0774),tensor(1.0328),tensor(0.0215),tensor(0.1898),100_100,2.8501625,2.6050985
12,tensor(1.0842),tensor(1.0366),tensor(0.0265),tensor(0.2228),100_100,2.987236,2.7162783
13,tensor(1.0914),tensor(1.0407),tensor(0.0325),tensor(0.2606),100_100,3.137094,2.8384738
14,tensor(1.0978),tensor(1.0450),tensor(0.0393),tensor(0.3033),100_100,3.2819178,2.9604018
15,tensor(1.1044),tensor(1.0496),tensor(0.0480),tensor(0.3531),100_100,3.4372764,3.094155
16,tensor(1.1117),tensor(1.0550),tensor(0.0587),tensor(0.4077),100_100,3.6205478,3.2529612
17,tensor(1.1184),tensor(1.0602),tensor(0.0715),tensor(0.4709),100_100,3.7966025,3.4077497
18,tensor(1.1237),tensor(1.0644),tensor(0.0878),tensor(0.5436),100_100,3.9441104,3.5377216
19,tensor(1.1265),tensor(1.0666),tensor(0.1073),tensor(0.6258),100_100,4.021831,3.6063495
20,tensor(1.1272),tensor(1.0669),tensor(0.1245),tensor(0.6912),100_100,4.0385714,3.6185975
