,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
0,tensor(1.),tensor(1.),tensor(0.),tensor(0.0039),030_100,-1.1251332e-08,-1.14326866e-07
1,tensor(1.0011),tensor(1.0001),tensor(0.),tensor(0.0181),030_100,0.00012916182,0.0013084159
2,tensor(1.0023),tensor(0.9999),tensor(0.0002),tensor(0.0333),030_100,6.1350365e-05,0.0006155171
3,tensor(1.0033),tensor(0.9997),tensor(0.0004),tensor(0.0520),030_100,-8.184966e-07,-1.9527028e-05
4,tensor(1.0044),tensor(0.9998),tensor(0.0008),tensor(0.0754),030_100,0.00013582506,0.0013334361
5,tensor(1.0057),tensor(1.0004),tensor(0.0014),tensor(0.1005),030_100,0.00061931624,0.0061264816
6,tensor(1.0068),tensor(1.0018),tensor(0.0021),tensor(0.1313),030_100,0.001562477,0.015460193
7,tensor(1.0085),tensor(1.0039),tensor(0.0027),tensor(0.1653),030_100,0.0030359288,0.029909289
8,tensor(1.0100),tensor(1.0067),tensor(0.0039),tensor(0.2087),030_100,0.005009557,0.049141876
9,tensor(1.0115),tensor(1.0102),tensor(0.0049),tensor(0.2582),030_100,0.0075064795,0.07311234
10,tensor(1.0138),tensor(1.0146),tensor(0.0062),tensor(0.3139),030_100,0.0110206185,0.10570546
11,tensor(1.0162),tensor(1.0198),tensor(0.0081),tensor(0.3744),030_100,0.015463782,0.14518155
12,tensor(1.0185),tensor(1.0254),tensor(0.0104),tensor(0.4445),030_100,0.020659294,0.18898878
13,tensor(1.0210),tensor(1.0309),tensor(0.0137),tensor(0.5202),030_100,0.026601497,0.23566118
14,tensor(1.0233),tensor(1.0367),tensor(0.0172),tensor(0.6052),030_100,0.033572026,0.28744563
15,tensor(1.0252),tensor(1.0430),tensor(0.0220),tensor(0.6976),030_100,0.041754425,0.34586272
16,tensor(1.0272),tensor(1.0491),tensor(0.0273),tensor(0.8031),030_100,0.050763212,0.40563214
17,tensor(1.0301),tensor(1.0561),tensor(0.0335),tensor(0.9230),030_100,0.06314761,0.48048478
18,tensor(1.0333),tensor(1.0632),tensor(0.0413),tensor(1.0551),030_100,0.07791421,0.5619432
19,tensor(1.0358),tensor(1.0675),tensor(0.0512),tensor(1.2201),030_100,0.0887536,0.6160396
20,tensor(1.),tensor(1.),tensor(0.0001),tensor(0.0050),050_100,-1.1251332e-08,-1.14326866e-07
21,tensor(1.0008),tensor(1.0009),tensor(0.0007),tensor(0.0176),050_100,0.00057309953,0.0058228816
22,tensor(1.0021),tensor(1.0014),tensor(0.0012),tensor(0.0292),050_100,0.00096885895,0.009811737
23,tensor(1.0037),tensor(1.0015),tensor(0.0009),tensor(0.0427),050_100,0.0011712596,0.011786546
24,tensor(1.0056),tensor(1.0015),tensor(0.0014),tensor(0.0589),050_100,0.0013089248,0.0130421
25,tensor(1.0077),tensor(1.0016),tensor(0.0016),tensor(0.0764),050_100,0.0015225252,0.014962429
26,tensor(1.0098),tensor(1.0018),tensor(0.0020),tensor(0.1002),050_100,0.0018000326,0.017394932
27,tensor(1.0124),tensor(1.0030),tensor(0.0029),tensor(0.1260),050_100,0.0027852354,0.026489966
28,tensor(1.0150),tensor(1.0050),tensor(0.0037),tensor(0.1594),050_100,0.0044346345,0.04150188
29,tensor(1.0176),tensor(1.0079),tensor(0.0055),tensor(0.1978),050_100,0.006800767,0.06253503
30,tensor(1.0197),tensor(1.0113),tensor(0.0069),tensor(0.2421),050_100,0.009590393,0.08687352
31,tensor(1.0222),tensor(1.0156),tensor(0.0093),tensor(0.2898),050_100,0.0134680355,0.11933302
32,tensor(1.0250),tensor(1.0205),tensor(0.0115),tensor(0.3458),050_100,0.018301109,0.15721427
33,tensor(1.0284),tensor(1.0254),tensor(0.0144),tensor(0.4051),050_100,0.024034709,0.19824658
34,tensor(1.0320),tensor(1.0302),tensor(0.0170),tensor(0.4462),050_100,0.030588867,0.24082957
35,tensor(1.0353),tensor(1.0350),tensor(0.0204),tensor(0.4795),050_100,0.037935097,0.28550518
36,tensor(1.0379),tensor(1.0396),tensor(0.0249),tensor(0.5518),050_100,0.045544304,0.33003783
37,tensor(1.0402),tensor(1.0456),tensor(0.0298),tensor(0.6313),050_100,0.055886913,0.3900099
38,tensor(1.0421),tensor(1.0521),tensor(0.0362),tensor(0.7301),050_100,0.06785292,0.45720315
39,tensor(1.0436),tensor(1.0569),tensor(0.0434),tensor(0.8500),050_100,0.07799207,0.511002
40,tensor(1.0439),tensor(1.0579),tensor(0.0504),tensor(0.9624),050_100,0.080152825,0.5223774
41,tensor(1.),tensor(1.),tensor(0.),tensor(0.0041),075_100,-1.1251332e-08,-1.14326866e-07
42,tensor(1.0029),tensor(1.0008),tensor(0.0013),tensor(0.0190),075_100,0.00068976363,0.006953656
43,tensor(1.0064),tensor(1.0009),tensor(0.0020),tensor(0.0304),075_100,0.0009432019,0.009313036
44,tensor(1.0099),tensor(1.0005),tensor(0.0024),tensor(0.0448),075_100,0.00095891184,0.009116793
45,tensor(1.0131),tensor(1.0001),tensor(0.0029),tensor(0.0627),075_100,0.0010008368,0.009006766
46,tensor(1.0161),tensor(1.0001),tensor(0.0034),tensor(0.0850),075_100,0.0012833178,0.011012381
47,tensor(1.0185),tensor(1.0007),tensor(0.0043),tensor(0.1178),075_100,0.001906277,0.016107377
48,tensor(1.0213),tensor(1.0021),tensor(0.0052),tensor(0.1478),075_100,0.0032039415,0.026850404
49,tensor(1.0247),tensor(1.0040),tensor(0.0062),tensor(0.1832),075_100,0.005043792,0.04139538
50,tensor(1.0281),tensor(1.0065),tensor(0.0079),tensor(0.2244),075_100,0.0075852512,0.060736753
51,tensor(1.0318),tensor(1.0098),tensor(0.0100),tensor(0.2713),075_100,0.011141822,0.086430684
52,tensor(1.0363),tensor(1.0143),tensor(0.0130),tensor(0.3219),075_100,0.016463295,0.12217744
53,tensor(1.0409),tensor(1.0196),tensor(0.0165),tensor(0.3795),075_100,0.0235397,0.16603616
54,tensor(1.0452),tensor(1.0253),tensor(0.0206),tensor(0.4428),075_100,0.032238007,0.21593371
55,tensor(1.0500),tensor(1.0313),tensor(0.0249),tensor(0.5160),075_100,0.04331258,0.2732298
56,tensor(1.0543),tensor(1.0371),tensor(0.0302),tensor(0.5955),075_100,0.055517357,0.33150727
57,tensor(1.0565),tensor(1.0445),tensor(0.0363),tensor(0.6843),075_100,0.07025488,0.40600634
58,tensor(1.0588),tensor(1.0530),tensor(0.0439),tensor(0.7879),075_100,0.08952193,0.4986144
59,tensor(1.0613),tensor(1.0607),tensor(0.0506),tensor(0.8808),075_100,0.10987988,0.5890581
60,tensor(1.0636),tensor(1.0648),tensor(0.0603),tensor(1.0011),075_100,0.12387422,0.64389896
61,tensor(1.),tensor(1.),tensor(0.),tensor(0.),100_030,-1.1251332e-08,-1.14326866e-07
62,tensor(1.0079),tensor(1.0052),tensor(0.),tensor(0.),100_030,0.0038476163,0.038159527
63,tensor(1.0128),tensor(1.0055),tensor(0.0011),tensor(0.),100_030,0.0045305216,0.04334327
64,tensor(1.0179),tensor(1.0062),tensor(0.0022),tensor(0.),100_030,0.0056365305,0.051398385
65,tensor(1.0228),tensor(1.0068),tensor(0.0031),tensor(0.),100_030,0.006803552,0.05868523
66,tensor(1.0280),tensor(1.0068),tensor(0.0040),tensor(0.0021),100_030,0.007839348,0.06301596
67,tensor(1.0335),tensor(1.0070),tensor(0.0047),tensor(0.0048),100_030,0.009291863,0.068846144
68,tensor(1.0399),tensor(1.0070),tensor(0.0054),tensor(0.0072),100_030,0.011130988,0.0743821
69,tensor(1.0461),tensor(1.0069),tensor(0.0060),tensor(0.0101),100_030,0.013291581,0.08002626
70,tensor(1.0525),tensor(1.0066),tensor(0.0067),tensor(0.0130),100_030,0.015629971,0.08413942
71,tensor(1.0583),tensor(1.0062),tensor(0.0073),tensor(0.0198),100_030,0.018169317,0.08864874
72,tensor(1.0642),tensor(1.0060),tensor(0.0085),tensor(0.0251),100_030,0.021335576,0.09461851
73,tensor(1.0702),tensor(1.0058),tensor(0.0100),tensor(0.0311),100_030,0.024913093,0.10075395
74,tensor(1.0762),tensor(1.0056),tensor(0.0119),tensor(0.0406),100_030,0.029055081,0.10794231
