,lamx,lamy,Px,Py,experiment_type,P11_model,P22_model
41,tensor(1.),tensor(1.),tensor(0.),tensor(0.0041),075_100,0.004866237,0.071816936
42,tensor(1.0029),tensor(1.0008),tensor(0.0013),tensor(0.0190),075_100,0.0057160878,0.08418198
43,tensor(1.0064),tensor(1.0009),tensor(0.0020),tensor(0.0304),075_100,0.00595372,0.087368675
44,tensor(1.0099),tensor(1.0005),tensor(0.0024),tensor(0.0448),075_100,0.005855836,0.08559712
45,tensor(1.0131),tensor(1.0001),tensor(0.0029),tensor(0.0627),075_100,0.005767842,0.084002875
46,tensor(1.0161),tensor(1.0001),tensor(0.0034),tensor(0.0850),075_100,0.005958252,0.08651479
47,tensor(1.0185),tensor(1.0007),tensor(0.0043),tensor(0.1178),075_100,0.006565073,0.095153384
48,tensor(1.0213),tensor(1.0021),tensor(0.0052),tensor(0.1478),075_100,0.007888906,0.114183374
49,tensor(1.0247),tensor(1.0040),tensor(0.0062),tensor(0.1832),075_100,0.009667892,0.13974513
50,tensor(1.0281),tensor(1.0065),tensor(0.0079),tensor(0.2244),075_100,0.012013471,0.17351739
51,tensor(1.0318),tensor(1.0098),tensor(0.0100),tensor(0.2713),075_100,0.015069639,0.2176008
52,tensor(1.0363),tensor(1.0143),tensor(0.0130),tensor(0.3219),075_100,0.019190412,0.27714762
53,tensor(1.0409),tensor(1.0196),tensor(0.0165),tensor(0.3795),075_100,0.024045533,0.34753582
54,tensor(1.0452),tensor(1.0253),tensor(0.0206),tensor(0.4428),075_100,0.029319718,0.4243691
55,tensor(1.0500),tensor(1.0313),tensor(0.0249),tensor(0.5160),075_100,0.035047676,0.5079719
56,tensor(1.0543),tensor(1.0371),tensor(0.0302),tensor(0.5955),075_100,0.040569607,0.58891946
57,tensor(1.0565),tensor(1.0445),tensor(0.0363),tensor(0.6843),075_100,0.047392473,0.6914124
58,tensor(1.0588),tensor(1.0530),tensor(0.0439),tensor(0.7879),075_100,0.055355333,0.8124456
59,tensor(1.0613),tensor(1.0607),tensor(0.0506),tensor(0.8808),075_100,0.06261884,0.9236086
60,tensor(1.0636),tensor(1.0648),tensor(0.0603),tensor(1.0011),075_100,0.06675813,0.986423
