,lambda,P_experimental,I1,I2,F,experiment_type,P_model,P_model_,P_model_brain_StrainEnergyCANN_C0
0,0.9,-0.7591,3.0322222222222224,3.034567901234568,"([0.9, 0, 0], [0, 1.0540925533894598, 0], [0, 0, 1.0540925533894598])",Compression,[-0.3888662],-0.3891797,-0.34268624
1,0.9062,-0.6657,3.028216758252041,3.0301324642750176,"([0.9062, 0, 0], [0, 1.0504804420483138, 0], [0, 0, 1.0504804420483138])",Compression,[-0.31337768],-0.31365466,-0.27617347
2,0.9125,-0.5723,3.024437071917808,3.0259757928316757,"([0.9125, 0, 0], [0, 1.0468478451804275, 0], [0, 0, 1.0468478451804275])",Compression,[-0.24836415],-0.24860221,-0.21888536
3,0.9187,-0.4827,3.020998913903342,3.0222205202478185,"([0.9187, 0, 0], [0, 1.0433094516736974, 0], [0, 0, 1.0433094516736974])",Compression,[-0.19463557],-0.19483584,-0.1715383
4,0.925,-0.4127,3.017787162162162,3.0187363038714388,"([0.925, 0, 0], [0, 1.0397504898200727, 0], [0, 0, 1.0397504898200727])",Compression,[-0.14926529],-0.14942914,-0.1315547
5,0.9313,-0.3543,3.0148553927810586,3.015577398679834,"([0.9313, 0, 0], [0, 1.0362277024817128, 0], [0, 0, 1.0362277024817128])",Compression,[-0.11209068],-0.11222121,-0.09879243
6,0.9375,-0.2959,3.0122395833333333,3.012777777777778,"([0.9375, 0, 0], [0, 1.0327955589886446, 0], [0, 0, 1.0327955589886446])",Compression,[-0.08251369],-0.08261502,-0.07272521
7,0.9437,-0.2453,3.0098872697393237,3.0102767509480364,"([0.9437, 0, 0], [0, 1.0293972944736458, 0], [0, 0, 1.0293972944736458])",Compression,[-0.05897754],-0.05905366,-0.05198154
8,0.95,-0.2024,3.0077631578947366,3.00803324099723,"([0.95, 0, 0], [0, 1.0259783520851542, 0], [0, 0, 1.0259783520851542])",Compression,[-0.04039058],-0.04044524,-0.03559959
9,0.9563,-0.1674,3.00590360404371,3.0060821259247676,"([0.9563, 0, 0], [0, 1.0225932510152094, 0], [0, 0, 1.0225932510152094])",Compression,[-0.02636962],-0.0264069,-0.02324182
